code,name,sector
474490,유안타제16호스팩,창업투자
466690,키움히어로제1호스팩,창업투자
026890,스틱인베스트먼트,창업투자
468760,유진스팩10호,창업투자
465320,교보15호스팩,창업투자
440290,HB인베스트먼트,창업투자
482690,대신밸런스제19호스팩,창업투자
479880,한국제15호스팩,창업투자
478390,KB제29호스팩,창업투자
489730,디비금융제13호스팩,창업투자
477470,미래에셋비전스팩5호,창업투자
475240,하나32호스팩,창업투자
489210,교보17호스팩,창업투자
309960,LB인베스트먼트,창업투자
027830,대성창투,창업투자
277070,린드먼아시아,창업투자
336260,두산퓨얼셀,에너지장비및서비스
270520,앱튼,에너지장비및서비스
100090,SK오션플랜트,에너지장비및서비스
322000,HD현대에너지솔루션,에너지장비및서비스
005090,SGC에너지,에너지장비및서비스
137950,제이씨케미칼,에너지장비및서비스
475150,SK이터닉스,에너지장비및서비스
389260,대명에너지,에너지장비및서비스
112610,씨에스윈드,에너지장비및서비스
457550,우진엔텍,에너지장비및서비스
136150,원일티엔아이,에너지장비및서비스
180060,탑선,에너지장비및서비스
046120,오르비텍,에너지장비및서비스
098070,한텍,에너지장비및서비스
282720,금양그린파워,에너지장비및서비스
095910,에스에너지,에너지장비및서비스
083650,비에이치아이,에너지장비및서비스
101970,우양에이치씨,에너지장비및서비스
060900,에이전트AI,에너지장비및서비스
115530,씨엔플러스,에너지장비및서비스
100130,동국S&C,에너지장비및서비스
009830,한화솔루션,에너지장비및서비스
018000,유니슨,에너지장비및서비스
126720,수산인더스트리,에너지장비및서비스
224760,엔에스컴퍼니,에너지장비및서비스
379390,이성씨엔아이,에너지장비및서비스
099220,SDN,에너지장비및서비스
009835,한화솔루션우,에너지장비및서비스
038870,에코심플렉스,에너지장비및서비스
043200,파루,에너지장비및서비스
100840,SNT에너지,에너지장비및서비스
044490,태웅,에너지장비및서비스
127120,제이에스링크,생명과학도구및서비스
083790,CG인바이츠,생명과학도구및서비스
226950,올릭스,생명과학도구및서비스
460470,아이빔테크놀로지,생명과학도구및서비스
494120,큐리오시스,생명과학도구및서비스
317690,퀀타매트릭스,생명과학도구및서비스
278650,HLB바이오스텝,생명과학도구및서비스
036220,오상헬스케어,생명과학도구및서비스
475960,토모큐브,생명과학도구및서비스
205470,휴마시스,생명과학도구및서비스
215380,콜마바이오텍,생명과학도구및서비스
048530,인트론바이오,생명과학도구및서비스
340450,지씨지놈,생명과학도구및서비스
131220,대한과학,생명과학도구및서비스
335810,프리시젼바이오,생명과학도구및서비스
038290,마크로젠,생명과학도구및서비스
096530,씨젠,생명과학도구및서비스
950130,엑세스바이오,생명과학도구및서비스
046210,HLB파나진,생명과학도구및서비스
382150,온코크로스,생명과학도구및서비스
456190,큐라켐,생명과학도구및서비스
950200,소마젠,생명과학도구및서비스
245620,EDGC,생명과학도구및서비스
068330,일신바이오,생명과학도구및서비스
241820,피씨엘,생명과학도구및서비스
236340,메디젠휴먼케어,생명과학도구및서비스
084650,랩지노믹스,생명과학도구및서비스
182400,엔케이젠바이오텍코리아,생명과학도구및서비스
311690,CJ 바이오사이언스,생명과학도구및서비스
238120,얼라인드,생명과학도구및서비스
206640,바디텍메드,생명과학도구및서비스
383930,디티앤씨알오,생명과학도구및서비스
086040,바이오톡스텍,생명과학도구및서비스
347740,피엔케이피부임상연구센타,생명과학도구및서비스
445680,큐리옥스바이오시스템즈,생명과학도구및서비스
039860,나노엔텍,생명과학도구및서비스
291650,츌립앤사이언스,생명과학도구및서비스
461030,아이엠비디엑스,생명과학도구및서비스
