date,kospi_close,predicted_fwd_ret_20,risk_index,signal
2020-02-28,1987.01,-0.0031337039255824126,91.70886075949367,경고
2020-02-29,1987.01,-0.0031337039255824126,91.70886075949367,경고
2020-03-01,1987.01,-0.0031337039255824126,91.70886075949367,경고
2020-03-02,2002.51,0.0038457203694124975,83.22784810126582,경고
2020-03-03,2014.15,0.013614449880758866,64.17721518987342,안전
2020-03-04,2059.33,0.015935017981215573,60.56962025316456,안전
2020-03-05,2085.26,0.01926261925900811,52.08860759493671,안전
2020-03-06,2040.22,0.016498617852275445,59.24050632911393,안전
2020-03-07,2040.22,0.016498617852275445,59.24050632911393,안전
2020-03-08,2040.22,0.016498617852275445,59.24050632911393,안전
2020-03-09,1954.77,0.0010578468106907882,87.0886075949367,경고
2020-03-10,1962.93,0.007817167842422,76.1392405063291,안전
2020-03-11,1908.27,0.008738003583619196,74.49367088607595,안전
2020-03-12,1834.33,0.0023295245740850914,85.56962025316456,경고
2020-03-13,1771.44,0.003858737345249358,83.16455696202532,경고
2020-03-14,1771.44,0.003858737345249358,83.16455696202532,경고
2020-03-15,1771.44,0.003858737345249358,83.16455696202532,경고
2020-03-16,1714.86,0.013719703060613826,63.92405063291139,안전
2020-03-17,1672.44,0.024748267501212805,39.68354430379747,안전
2020-03-18,1591.2,0.02066957491601574,48.924050632911396,안전
2020-03-19,1457.64,0.013106151862241684,65.44303797468355,안전
2020-03-20,1566.15,0.02325385037991764,42.405063291139236,안전
2020-03-21,1566.15,0.02325385037991764,42.405063291139236,안전
2020-03-22,1566.15,0.02325385037991764,42.405063291139236,안전
2020-03-23,1482.46,0.023113711029989437,42.848101265822784,안전
2020-03-24,1609.97,0.030069978032257343,27.72151898734177,안전
2020-03-25,1704.76,0.03162665867348036,25.126582278481013,안전
2020-03-26,1686.24,0.028572760958646384,30.69620253164557,안전
2020-03-27,1717.73,0.029033284432185662,29.683544303797472,안전
2020-03-28,1717.73,0.029033284432185662,29.683544303797472,안전
2020-03-29,1717.73,0.029033284432185662,29.683544303797472,안전
2020-03-30,1717.12,0.025393299303207963,38.10126582278481,안전
2020-03-31,1754.64,0.024873491430014973,39.36708860759494,안전
2020-04-01,1685.46,0.018740872310391298,53.48101265822785,안전
2020-04-02,1724.86,0.018543318901694777,54.050632911392405,안전
2020-04-03,1725.44,0.01703068791009599,57.974683544303794,안전
2020-04-04,1725.44,0.01703068791009599,57.974683544303794,안전
2020-04-05,1725.44,0.01703068791009599,57.974683544303794,안전
2020-04-06,1791.88,0.019289955872483146,51.835443037974684,안전
2020-04-07,1823.6,0.020651764464920803,48.9873417721519,안전
2020-04-08,1807.14,0.019094006528758273,52.721518987341774,안전
2020-04-09,1836.21,0.020292650710631348,49.87341772151899,안전
2020-04-10,1860.7,0.01907625616100935,52.78481012658228,안전
2020-04-11,1860.7,0.01907625616100935,52.78481012658228,안전
2020-04-12,1860.7,0.01907625616100935,52.78481012658228,안전
2020-04-13,1825.76,0.01318419442060805,65.25316455696203,안전
2020-04-14,1857.08,0.007417977310446799,76.83544303797468,안전
2020-04-15,1857.08,0.007417977310446799,76.83544303797468,안전
2020-04-16,1857.07,0.0035587645042599175,83.86075949367088,경고
2020-04-17,1914.53,0.003886523905369055,83.0379746835443,경고
2020-04-18,1914.53,0.003886523905369055,83.0379746835443,경고
2020-04-19,1914.53,0.003886523905369055,83.0379746835443,경고
2020-04-20,1898.36,-0.002226779432042837,90.56962025316456,경고
2020-04-21,1879.38,-0.012912561112316628,97.40506329113924,위험
2020-04-22,1896.15,-0.01610898316384046,98.48101265822785,위험
2020-04-23,1914.73,-0.015326291829575869,98.22784810126582,위험
2020-04-24,1889.01,-0.016149404212310522,98.54430379746836,위험
2020-04-25,1889.01,-0.016149404212310522,98.54430379746836,위험
2020-04-26,1889.01,-0.016149404212310522,98.54430379746836,위험
2020-04-27,1922.77,-0.013541122941907924,97.72151898734177,위험
2020-04-28,1934.09,-0.009770801194315608,95.9493670886076,위험
2020-04-29,1947.56,-0.0076404978015007195,94.81012658227847,경고
2020-04-30,1947.56,-0.0076404978015007195,94.81012658227847,경고
2020-05-01,1947.56,-0.0076404978015007195,94.81012658227847,경고
2020-05-02,1947.56,-0.0076404978015007195,94.81012658227847,경고
2020-05-03,1947.56,-0.0076404978015007195,94.81012658227847,경고
2020-05-04,1895.37,-0.009038396803860533,95.50632911392405,위험
2020-05-05,1895.37,-0.009038396803860533,95.50632911392405,위험
2020-05-06,1928.76,-0.003081125766424532,91.64556962025317,경고
2020-05-07,1928.61,-0.002250859083020444,90.63291139240506,경고
2020-05-08,1945.82,-3.065366534593661e-05,88.35443037974684,경고
