date,investor_deposit,deriv_deposit,broker_rp_balance,margin_call_unpaid,margin_call_liquidation,margin_liquidation_ratio,credit_loan_total,credit_loan_kospi,credit_loan_kosdaq,credit_short_total,credit_short_kospi,credit_short_kosdaq,subscription_loan,pledged_securities_loan,cma_rp,cma_mmf,cma_jonggeum,cma_note,cma_other,cma_balance,mmf_total,mmf_indiv,mmf_corp,mmf_other
2020-01-02,29859926,8507119,64913495,166981,11181,5.2,9207175,4061820,5145354,23321,15790,7531,0,17232050,25328514,2811769,805123,4597282,19066887,52609575,105847943,21931449,83916477,17
2020-01-03,30666501,8348404,66955731,156313,10360,6.2,9231595,4080601,5150994,23862,15954,7908,0,17218834,25392686,2819070,807676,4624974,19266502,52910908,113191431,22055294,91136121,17
2020-01-06,27948034,8301672,69010052,181708,10509,6.7,9376932,4162646,5214286,23951,15717,8234,0,17292078,25345665,2815661,801924,4629869,19045641,52638761,120101691,22136793,97964881,17
2020-01-07,27038368,8556788,69302005,200599,9365,5.2,9479197,4191505,5287692,23441,15303,8138,0,17330236,25336792,2818862,803969,4643713,19176785,52780120,121966890,22150466,99816408,17
2020-01-08,26913932,8725291,69345975,220218,11173,5.6,9531604,4211678,5319927,23344,15388,7956,0,17402757,25228230,2819699,811053,4638757,18998122,52495861,123033592,22165077,100868498,17
2020-01-09,28154028,8573376,69596692,206265,11050,5.0,9532312,4202096,5330216,25053,16424,8629,0,17356740,25243617,2820513,803472,4653313,18977506,52498421,122065054,22190158,99874880,17
2020-01-10,29171442,8522973,68676733,220126,10383,5.0,9493450,4201428,5292021,24263,15904,8360,0,17424289,25309966,2821381,795082,4664437,18773268,52364134,122278364,22177200,100101147,17
2020-01-13,27640974,8509001,68205031,197437,12940,5.9,9459644,4194931,5264712,25932,17164,8768,0,17356949,25246818,2807655,797396,4628462,18950444,52430775,125050601,22249247,102801337,17
2020-01-14,27978833,8606300,68220304,184896,10166,5.1,9543165,4228913,5314252,27031,17740,9291,0,17394323,25190255,2818079,789626,4626519,18923800,52348279,125636517,22251071,103385429,17
2020-01-15,28360485,8705477,68242020,187625,10447,5.7,9644538,4262453,5382085,27328,18161,9168,0,17415164,25240760,2814648,784894,4648611,18815509,52304422,126737346,22248675,104488654,17
2020-01-16,27571005,8695475,68440995,189749,9853,5.3,9695465,4277367,5418098,27259,17816,9443,0,17432645,25278639,2827300,784141,4663643,18814346,52368068,128492311,22257617,106234677,17
2020-01-17,27545874,8650297,68502776,193914,9678,5.1,9773968,4317402,5456566,27714,17990,9724,0,17457957,25235134,2824854,789945,4642569,18386401,51878903,128623199,22333686,106289496,17
2020-01-20,28162090,8689211,68139715,199358,9555,4.9,9879240,4379350,5499890,27945,18135,9810,0,17492539,25222584,2820771,791249,4601837,18171089,51607529,126791305,22354085,104437203,17
2020-01-21,27679498,8887616,68332373,189827,10005,5.0,9892463,4390841,5501622,28578,18413,10164,0,17514375,25375309,2831762,794753,4664490,18603162,52269476,128128743,22362672,105766055,17
2020-01-22,27762464,8875885,67850360,197322,10146,5.3,9950474,4394250,5556224,28328,18425,9903,0,17541850,25263484,2833131,799255,4568725,17851125,51315720,127334245,22413568,104920660,17
2020-01-23,27032949,8864031,67757622,198136,9499,4.8,9999563,4398996,5600568,27121,17702,9419,0,17591052,25364320,2832286,801503,4618772,17881471,51498352,126268313,22483636,103784661,17
2020-01-28,30221242,8879068,67454105,169208,8781,4.4,10019726,4414481,5605245,28239,18316,9923,0,17595282,25332430,2816201,796922,4735277,18639030,52319861,124894758,22571870,102322871,17
2020-01-29,29219885,8597130,67623616,182066,12451,7.4,10092624,4453538,5639085,27632,17890,9741,0,17618750,25289573,2831191,795441,4770115,18754914,52441234,128114118,22530845,105583256,17
2020-01-30,30223021,8595804,67549067,252405,13013,7.1,10106988,4491672,5615316,25924,16208,9715,0,17740949,25011548,2805631,791662,4668375,18433160,51710376,128948045,22505895,106442134,17
2020-01-31,28718926,8379734,67897163,221346,14076,5.6,10080631,4478932,5601700,26211,16868,9342,0,17739394,25188881,2805422,776251,4840097,18217499,51828150,128392737,22488885,105903835,17
2020-02-03,31241363,8390376,68517366,250038,13673,6.2,10038047,4456013,5582034,24412,15288,9123,0,17811552,25242268,2863128,773142,4876437,18897695,52652669,129603251,22565473,107037761,17
2020-02-04,29506982,8356499,69151889,233377,12063,4.8,9914933,4420757,5494175,24251,15584,8668,0,17771104,25177211,2877632,767031,4756456,18887649,52465979,136689489,22654642,114034830,17
2020-02-05,29160654,8448238,69194088,209206,11793,5.1,9818154,4407226,5410928,24115,15311,8804,0,17681316,25120497,2895151,776573,4740498,18773405,52306124,139502038,22695855,116806165,17
2020-02-06,28905628,8781059,70176052,186228,10269,4.9,9853155,4427494,5425662,25751,16874,8877,0,17673062,25304222,2897429,764389,4790092,18958379,52714511,140406169,22714414,117691738,17
2020-02-07,28655825,8762553,70216316,185625,8589,4.6,9941547,4476895,5464652,27669,18140,9530,0,17704063,25365183,2923972,757556,4862676,18751485,52660871,142161887,22750183,119411687,17
2020-02-10,30471046,8677747,69940534,190281,11206,6.0,9941121,4433371,5507750,29691,19730,9961,0,17700603,25448052,2918825,749314,4868993,18665063,52650247,143820593,22782272,121038304,17
2020-02-11,28600272,8723758,70706195,186878,11637,6.1,10085083,4505514,5579569,28707,19046,9661,0,17775087,25301119,2918404,741749,4700721,18477019,52139012,145045615,22773344,122272254,17
2020-02-12,28369377,8742637,70510718,193545,9583,5.1,10182059,4553515,5628544,27164,17751,9414,0,17799632,25263003,2919570,743099,4677995,18534776,52138444,146157686,22797118,123360552,17
2020-02-13,30112161,8664989,71167381,178911,11419,5.9,10231273,4557718,5673554,27721,17826,9895,0,17767193,25464333,2918405,734404,4856151,18866474,52839767,146621405,22803115,123818273,17
2020-02-14,28321208,8597946,71290150,186516,10473,5.9,10294979,4568265,5726714,28309,18762,9547,0,17773009,25543652,2921628,736423,4888696,18821827,52912225,148907173,22825366,126081790,17
2020-02-17,28754576,8575629,71262208,216775,11171,6.0,10351033,4572985,5778049,28968,18647,10321,0,17815678,25567044,2920443,728796,4890024,18941337,53047644,147371932,22846019,124525896,17
2020-02-18,29030416,8804535,71538474,196787,9959,4.6,10405212,4573679,5831533,29836,19521,10315,0,17871495,25484157,2927766,728531,4870511,19011828,53022793,147601856,22850939,124750900,17
2020-02-19,28915565,8640867,72092934,199915,11047,5.6,10462694,4609629,5853064,29711,19024,10687,0,17879138,25448200,2924169,724632,4865239,19077447,53039688,149034749,22835464,126199268,17
2020-02-20,28617966,8713998,72208337,215670,11197,5.6,10514123,4646824,5867299,28365,18138,10227,0,17996810,24933917,2899744,722907,4599031,17875304,51030903,148545188,22794402,125750769,17
2020-02-21,28591644,8826703,72406814,218143,12836,6.0,10516321,4630141,5886180,28430,18321,10109,0,17999785,25322981,2895573,767917,4878871,18893033,52758375,148382250,22770236,125611997,17
2020-02-24,30122901,9144132,72301301,224011,11953,5.5,10543567,4628986,5914581,27877,17511,10365,0,18083593,25115533,2885390,752978,4858238,18806612,52418751,146322327,22857780,123464530,17
2020-02-25,30712805,9006534,72849282,225402,16481,7.4,10486371,4596876,5889495,26210,16990,9219,0,18123417,25221288,2876385,745897,4911017,18893316,52647902,146718785,22786020,123932748,17
2020-02-26,31749767,8883281,73071903,285800,14882,6.6,10350972,4558505,5792466,22947,15179,7767,0,18101295,25166701,2864176,745873,4911959,19041636,52730344,146237827,22745930,123491879,17
2020-02-27,31169055,8633576,72934459,242988,13684,4.8,10296179,4584084,5712095,22099,13824,8274,0,17999399,24869539,2837819,738328,4765104,18164218,51375008,147942487,22743226,125199245,17
2020-02-28,31211202,8797247,73482853,205060,10642,4.4,10372604,4638838,5733766,20456,12290,8166,0,18097360,24844814,2807770,737484,4923902,18133938,51447907,143581476,22680612,120900847,17
2020-03-02,33181501,9293370,73886824,219412,16507,8.0,10278525,4577856,5700670,18909,11332,7577,0,18120847,25173561,2829365,739003,5031957,18296177,52070063,143281882,22674247,120607619,17
2020-03-03,31569727,9192372,73923553,243617,11607,5.3,10010245,4476958,5533288,17856,10857,6999,0,18030604,24748216,2826041,742352,4642133,17727831,50686573,146977066,22732855,124244194,17
2020-03-04,31073392,9448533,74485820,208535,11866,4.9,9941075,4490105,5450970,19897,11935,7962,0,17887346,24859008,2827107,735340,4624305,17798100,50843861,147896628,22742817,125153794,17
2020-03-05,31026058,9592545,75164123,210254,8639,4.1,9996896,4503827,5493070,20321,12257,8064,0,17888270,25260987,2826490,730348,5007776,18746137,52571738,147804232,22768268,125035947,17
2020-03-06,31051630,9480584,75292008,187508,13131,6.2,10024660,4520719,5503941,22057,13450,8607,0,17856977,25336893,2838579,734414,5086467,18815086,52811439,146665062,22805475,123859571,17
2020-03-09,32097375,9601767,74842801,182230,10775,5.7,10106442,4535825,5570617,24062,14754,9308,0,17854897,25196601,2816553,719865,5036869,18764804,52534692,146481192,22868470,123612705,17
2020-03-10,32909290,9758978,74734405,215498,13333,7.3,10187397,4564823,5622574,22565,13284,9281,0,17960284,25190462,2802506,714353,5048123,18833186,52588631,145045448,22843988,122201443,17
2020-03-11,33024250,9780972,74870063,296849,11163,5.2,10134516,4551238,5583278,18822,10421,8401,0,18019009,25039515,2805524,715175,5020246,18864490,52444950,145472553,22861198,122611338,17
2020-03-12,34079308,10000406,74758874,257870,13668,4.6,10026043,4562258,5463785,18724,10662,8061,0,17966311,25038724,2779619,712486,5038103,18580640,52149572,145853469,22862414,122991038,17
2020-03-13,36190053,10061558,74813106,286390,21888,8.5,9862825,4515814,5347011,16649,9602,7047,0,17937364,24955175,2752702,705584,5043729,18506746,51963936,146623419,22784766,123838636,17
2020-03-16,36718878,10226298,74559224,312138,19145,6.7,9419006,4335190,5083816,15176,8565,6611,0,17660596,25108161,2743025,699967,5011458,18242290,51804900,146547105,22728719,123818369,17
2020-03-17,37740889,10468361,75042521,319123,24964,8.0,8542175,4004707,4537468,13218,7827,5391,0,17126403,25262641,2743663,670301,4987813,18437376,52101793,144707152,22695132,122012004,17
2020-03-18,37112639,10723422,75206109,340641,24520,7.7,8141754,3861952,4279802,11253,6651,4602,0,16961719,25198213,2747800,658985,4955582,18327141,51887721,146311581,22660624,123650940,17
2020-03-19,38366656,11235929,75151877,318545,26058,7.6,7828321,3765934,4062386,10103,6067,4036,0,16628441,25191608,2725024,649203,4935712,18026815,51528361,146194939,22626577,123568345,17
2020-03-20,39121906,11366103,75277490,288341,24971,7.8,7524496,3611615,3912881,8917,5142,3775,0,16244888,25311142,2726384,632634,5020852,18061730,51752742,141914822,22467331,119447474,17
2020-03-23,39866677,11539298,75142501,387226,21036,7.3,6767275,3261445,3505831,7626,4475,3151,0,15662857,25335996,2721502,616026,4967980,18078207,51719711,140357448,22450650,117906781,17
2020-03-24,40991216,11778787,74756863,264324,18990,4.9,6447040,3109784,3337256,7122,4093,3030,0,15297205,25489499,2736901,589195,4965844,18168089,51949528,136877179,22361213,114515950,17
2020-03-25,41435918,11458873,74159748,261682,17367,6.6,6407513,3094150,3313363,6582,3810,2772,0,15384462,25532647,2723786,576032,5006284,17997184,51835933,134914692,22283028,112631647,17
2020-03-26,45168958,11239513,74269226,222127,12859,4.9,6436078,3087901,3348177,6318,3643,2675,0,15326477,25563544,2717107,555093,5075945,18475174,52386863,132854694,22251292,110603386,17
2020-03-27,43977218,11321115,73647058,265746,10617,4.8,6440447,3075317,3365130,5937,3510,2427,0,15311379,25910052,2715163,520357,5196887,18066539,52408998,132578190,22260008,110318165,17
2020-03-30,43458363,11240460,72865789,324859,12765,4.8,6525697,3162910,3362787,5872,3475,2397,0,15370627,26130375,2720906,492341,5263750,17988458,52595829,128762103,22317151,106444936,17
2020-03-31,43082921,11305017,71168899,232225,11753,3.6,6578263,3177419,3400844,5760,3437,2323,0,15406579,26259563,2736978,453467,5438285,17876645,52764938,120076675,22297766,97778892,17
2020-04-01,47666924,11612422,72433598,214511,11808,5.1,6688864,3267548,3421316,5515,3273,2242,0,15420231,26283742,2750901,414853,5331909,18013106,52794511,119642582,22316116,97326449,17
2020-04-02,46567601,11726272,73970088,244800,14162,6.6,6878091,3394622,3483469,5308,3158,2151,0,15422722,26438438,2765869,381529,5370854,18190459,53147149,129337715,22417756,106919942,17
2020-04-03,43879007,11603192,75904796,287699,15167,6.2,7032108,3498367,3533741,5245,3141,2104,0,15430382,26643117,2771074,0,5384585,18228777,53027552,132315078,22474581,109840480,17
2020-04-06,43327334,11853167,76590833,245143,14370,5.0,7155893,3558211,3597681,5223,3124,2099,0,15376347,26654972,2770417,0,5375488,18346271,53147147,135252277,22502885,112749376,17
2020-04-07,43555113,11927382,76843184,219030,9816,4.0,7260190,3583672,3676517,5130,3049,2081,0,15356194,26531034,2781402,0,5350662,18293686,52956785,136859207,22557638,114301552,17
2020-04-08,44228361,11934408,77138276,205487,11646,5.3,7359432,3623878,3735554,5019,3005,2014,0,15350674,26701703,2785619,0,5368984,18250322,53106628,137943369,22525277,115418076,17
2020-04-09,44306528,11970690,77109472,225027,11390,5.5,7527286,3639332,3887954,4911,2915,1996,0,15393954,26757229,2793258,0,5487204,18075142,53112834,136516408,22559818,113956573,17
2020-04-10,44567553,11798809,77044716,226193,11459,5.1,7705349,3733604,3971745,4875,2888,1987,0,15401054,26873892,2792539,0,5581546,17967161,53215138,133756727,22593451,111163259,17
2020-04-13,44781770,11977132,76826214,224797,10366,4.6,7880698,3829387,4051311,4843,2881,1962,0,15384441,26863350,2807538,0,5598236,18175544,53444667,134673532,22645470,112028046,17
2020-04-14,44824764,12057066,76822055,226760,14344,6.4,7997588,3898863,4098724,4786,2829,1957,0,15425213,27041703,2818259,0,5584390,18028542,53472894,135325927,22688032,112637877,17
2020-04-16,44373325,11999913,77140360,268754,14451,6.4,8079877,3955720,4124157,4729,2815,1913,0,15455156,27027551,2827581,0,5616239,17991444,53462814,137569793,22748288,114821489,17
2020-04-17,44400261,12109402,77220975,211057,13167,4.9,8107056,3972464,4134592,4683,2790,1893,0,15396705,27083846,2819988,0,5721328,18172708,53797869,141351039,22781428,118569594,17
2020-04-20,44572087,12202094,76987967,217367,12894,6.1,8254649,4071625,4183024,4573,2718,1855,0,15406867,27112682,2816398,0,5721730,18162057,53812867,140931871,22859614,118072240,17
2020-04-21,45636657,12284496,77156210,226881,18234,8.4,8367401,4127843,4239559,4501,2662,1839,0,15473188,27155165,2820443,0,5772153,18125243,53873004,141841548,22939019,118902512,17
2020-04-22,45338563,12215984,77157076,251859,15640,6.9,8522089,4179004,4343086,4320,2590,1730,0,15531353,27157552,2824805,0,5721985,18366412,54070754,142486345,23006189,119480140,17
2020-04-23,44381132,12152923,77238373,271439,15204,6.0,8658274,4253828,4404446,4297,2581,1717,0,15554415,27264738,2825871,0,5769753,18165076,54025438,141182894,23048568,118134310,17
2020-04-24,43836745,12256347,77316043,249613,16038,5.9,8798606,4332268,4466338,4141,2478,1663,0,15517989,27364621,2834517,0,5815584,18364105,54378828,139258418,23072152,116186250,17
2020-04-27,44445778,12128915,77031430,251335,16316,6.5,8896308,4355786,4540522,4085,2447,1638,0,15533884,26973574,2824776,0,5780923,18932185,54511458,136834253,23120714,113713522,17
2020-04-28,44109411,11765465,77045596,274709,16515,6.6,8981254,4392990,4588264,3963,2420,1543,0,15577120,26911633,2831496,0,5798957,18969707,54511793,137558047,23106356,114451674,17
2020-04-29,42835008,11983505,77033732,216997,14726,5.4,9043411,4404068,4639343,3920,2389,1531,0,15496771,27321031,2834805,0,6019308,18250279,54425424,133952093,23078423,110873653,17
2020-05-04,44522244,12663978,76658821,233542,14034,6.5,9138226,4433182,4705044,3654,2179,1476,0,15535009,27335884,2836506,0,6050658,18424578,54647626,133652733,23096694,110556022,17
2020-05-06,44813133,12705569,77069173,226315,16543,7.1,9148258,4401936,4746322,3451,2070,1381,0,15562635,27370569,2846887,0,6044545,18604355,54866356,136210023,23185726,113024281,17
2020-05-07,44601099,12530725,77208148,255626,16504,7.3,9293246,4530159,4763087,3230,1999,1231,0,15516356,27225111,2861405,0,5825166,18344848,54256530,138724639,23260197,115464425,17
2020-05-08,42606912,12446043,77406834,245828,16211,6.3,9401611,4563522,4838089,3031,1952,1079,0,15444616,27267099,2869575,0,5810287,18084791,54031752,144538168,23298316,121239836,17
2020-05-11,43462534,12498775,77572540,248449,12544,5.1,9495912,4600257,4895655,2982,1951,1031,0,15461752,27342409,2868259,0,5979904,18401034,54591606,143776046,23345607,120430422,17
2020-05-12,43312481,12428772,77590861,225420,15207,6.1,9554894,4601329,4953565,2894,1896,999,0,15500584,27346258,2872921,0,5962598,18387767,54569544,146148956,23357048,122791891,17
2020-05-13,42858802,12629962,77761971,273909,16840,7.5,9718147,4662897,5055251,2481,1656,825,0,15641217,27045732,2854980,0,5586796,17634384,53121892,146382502,23377105,123005380,17
2020-05-14,43785752,12659723,77974885,283377,15718,5.7,9866508,4741597,5124911,2284,1492,792,0,15760825,27016110,2854604,0,5600398,17676459,53147570,149197021,23386004,125811000,17
2020-05-15,42323017,12404201,78080302,264367,15824,5.6,9953379,4778023,5175356,2229,1450,779,0,15810808,27388238,2862382,0,6047968,18200977,54499564,151667810,23394632,128273161,17
2020-05-18,42399157,12463234,77969185,396486,17101,6.5,10078261,4844962,5233299,2134,1420,714,0,15850918,27400042,2877117,0,6053929,18279091,54610178,152327087,23466518,128860552,17
2020-05-19,42755644,12463240,77814649,276133,18980,4.8,10141020,4885114,5255906,1929,1271,658,0,15922132,27365626,2885698,0,6040752,18191940,54484015,153181253,23518703,129662534,17
2020-05-20,42540200,12401230,77741097,279516,17288,6.3,10211538,4907866,5303672,1512,1023,488,0,15899060,27417215,2883727,0,6021454,18081676,54404072,153374422,23561844,129812561,17
2020-05-21,43515509,12474368,78052548,279461,17328,6.2,10224752,4856053,5368699,1193,884,309,0,15878093,27636041,2887823,0,6070735,18249124,54843723,154975970,23721372,131254582,17
2020-05-22,43772613,12563088,78542725,231665,13631,4.9,10306919,4876718,5430201,1193,884,309,0,15847063,27586237,2896162,0,6065248,18105764,54653411,155724013,23792552,131931444,17
2020-05-25,43927758,12606141,78710634,234984,13721,5.9,10464548,4938915,5525633,1191,882,309,0,15899727,27587393,2887960,0,6074312,18130279,54679945,155518190,23843261,131674913,17
2020-05-26,44249842,12258172,78801523,243288,15061,6.4,10586867,4988712,5598155,1189,882,307,0,15961408,27550551,2902408,0,6118680,18745169,55316808,155463170,23847126,131616028,17
2020-05-27,44085038,11674807,78814226,227282,12018,4.9,10666167,5006717,5659450,1188,881,307,0,15970370,27511149,2905721,0,6167094,18639443,55223407,156737410,23805478,132931915,17
2020-05-28,44708010,11491177,78535716,312897,12924,5.7,10807273,5049512,5757761,1188,881,307,0,16044846,27445557,2902341,0,6137934,18415426,54901259,155390347,23783631,131606699,17
2020-05-29,43969233,11345890,78526608,273634,14714,4.7,10927629,5098097,5829532,1186,881,305,0,16084758,27548444,2907741,0,6332443,18414376,55203004,152046293,23691845,128354431,17
2020-06-01,44478548,11515354,78446863,302447,16648,6.1,10931475,5097836,5833640,1186,881,305,0,16145057,27590388,2907505,0,6267023,18685557,55450474,153230821,23677104,129553700,17
2020-06-02,43668711,11359966,78857527,281913,18625,6.2,10938529,5132557,5805973,1166,881,285,0,16119428,27561339,2915542,0,6248917,18573578,55299377,154993872,23671599,131322256,17
2020-06-03,44155716,11710213,78675970,248109,16187,5.7,11046726,5143636,5903090,1165,881,285,0,16051658,27552138,2919873,0,6219269,18519040,55210320,155997435,23719747,132277672,17
2020-06-04,44774965,11622379,78847045,244368,14353,5.8,11203225,5195804,6007421,1165,881,285,0,16145259,27431868,2915817,0,6009128,18258063,54614875,156741076,23738498,133002562,17
2020-06-05,44686990,11871737,79129109,254365,15129,6.2,11316308,5204555,6111754,1165,880,284,0,16257388,27670900,2916944,0,5947975,18127401,54663220,156514508,23770022,132744469,17
2020-06-08,45702569,11882617,79688513,250082,13860,5.4,11377741,5214633,6163109,1164,880,284,0,16198708,27869724,2911446,0,6084017,18359401,55224588,155019241,23820126,131199098,17
2020-06-09,45506364,11860714,79461882,212056,13276,5.3,11510879,5274149,6236731,1164,879,284,0,16233492,27629244,2914392,0,5698499,17721891,53964026,151902477,23821481,128080979,17
2020-06-10,46728524,11991864,79240696,246987,15156,7.1,11647126,5359046,6288080,1162,878,284,0,16338079,27738961,2951163,0,5687778,17646033,54023936,150993687,23887045,127106626,17
2020-06-11,45978490,12101642,79057788,298575,14895,6.0,11790940,5462319,6328622,1162,878,284,0,16407470,28026493,2978837,0,6231796,18055757,55292882,153985553,23913937,130071600,17
2020-06-12,47900337,12022831,79799727,282251,18282,6.1,11862769,5488142,6374628,1161,877,284,0,16574497,27660039,2959412,0,5870087,17461831,53951370,154156528,23960902,130195609,17
2020-06-15,48337551,12248077,79643166,358837,26269,9.3,12059783,5629068,6430715,1159,876,283,0,16793203,27569319,2937711,0,5822887,17255454,53585372,153895752,23925484,129970252,17
2020-06-16,48205254,12281757,79708808,350546,21326,5.9,12026250,5665639,6360611,1159,876,283,0,16814471,27696912,2950958,0,5871801,17644917,54164588,154878362,23919052,130959293,17
2020-06-17,46361489,11793577,80249704,451934,18853,5.4,11838634,5621144,6217490,1159,876,283,0,16754248,27970510,2913995,0,6318632,18469487,55672624,153567436,23951396,129616023,17
2020-06-18,46450403,11781916,80845481,316492,18941,4.2,11770096,5609864,6160232,1158,876,283,0,16567722,28216271,2932658,0,6419166,18410253,55978348,152047812,23944259,128103537,17
2020-06-19,46228578,11863902,81199456,290011,13861,4.4,11966742,5728395,6238347,1158,876,283,0,16523758,28625736,2926888,0,6444849,18397346,56394819,148467315,23982450,124484848,17
2020-06-22,47398692,11858874,80844865,261621,14635,5.0,12096181,5792974,6303207,1158,876,283,0,16580403,28956483,2976111,0,6883188,18708832,57524614,145629207,24070982,121558208,17
2020-06-23,47524811,11887003,80793602,249411,16368,6.3,12198340,5839087,6359253,1155,876,279,0,16792919,28443330,2884208,0,6949453,18716607,56993598,146531999,23950880,122581103,17
2020-06-24,46280562,11928063,78494855,265172,19276,7.7,12329436,5907243,6422194,1149,876,274,0,18353591,25269812,2734814,0,3642760,15204349,46851735,143767925,23605171,120162738,17
2020-06-25,46476347,12182262,75368945,426366,15176,5.7,12435670,5973351,6462319,1148,875,273,0,18407619,25185156,2722787,0,3686804,15077541,46672288,139739726,23224959,116514751,17
2020-06-26,50649471,12237448,77808216,301494,18778,4.4,12545180,6022139,6523041,1148,875,273,0,17118870,28336493,2749708,0,6755835,18270784,56112820,136384179,23230570,113153593,17
2020-06-29,46983291,12039555,78191745,308854,21801,7.2,12662372,6108030,6554343,1148,875,273,0,17097862,28956584,2914966,0,7296644,19226649,58394843,138940473,23808175,115132281,17
2020-06-30,46323213,11962451,76797444,263692,18901,6.1,12660430,6076065,6584365,1148,875,273,0,17216067,29038085,2956712,0,7236763,19013590,58245150,134992449,23932837,111059596,17
2020-07-01,48005841,11863331,79975478,283080,16154,6.1,12647151,6085328,6561823,1148,875,273,0,17288250,28585619,2957970,0,6673531,18692971,56910091,136220099,24023241,112196842,17
2020-07-02,47464563,11917807,82367150,272734,18891,6.7,12670466,6101548,6568918,1148,875,273,0,17203150,28590784,2953133,0,6707312,19218342,57469571,141343371,24099963,117243392,17
2020-07-03,45723148,12056171,82076050,284198,14822,5.4,12637552,6075167,6562385,1148,875,273,0,17098542,28907956,2977880,0,7003792,19612563,58502191,145543745,24188267,121355462,17
2020-07-06,45748772,12131024,82262067,261005,12548,4.4,12622960,6055296,6567663,1148,875,273,0,17080775,28893588,3000423,0,6966349,19513720,58374080,148037830,24318135,123719678,17
2020-07-07,46321838,12075725,82469672,250800,15640,6.0,12703556,6073997,6629559,1148,875,273,0,17109544,28835172,3010094,0,6884322,19599853,58329441,147277869,24359053,122918799,17
2020-07-08,46764297,11920115,82471019,267044,11965,4.8,12857427,6145781,6711647,1148,875,273,0,17152104,28887155,2997029,0,6932647,19734095,58550926,147799337,24344860,123454460,17
2020-07-09,46341452,11720903,81796519,285444,15400,5.8,12982025,6181832,6800194,1148,875,273,0,17242843,28253500,2979611,0,6354241,18116339,55703690,147965622,24342917,123622688,17
2020-07-10,46033699,11553655,81052779,271359,13856,4.9,13092258,6244345,6847913,1148,875,273,0,17275509,28796299,2979400,0,6884024,18756788,57416512,146449825,24309881,122139927,17
2020-07-13,46601119,11549412,81830565,247762,13121,4.8,13201365,6316662,6884703,1148,875,273,0,17234594,28687987,2984389,0,6856127,18798320,57326822,146411487,24366890,122044581,17
2020-07-14,45551517,11426311,80984930,259343,12913,5.2,13299590,6375530,6924060,1148,875,273,0,17338387,28074524,2962378,0,6104882,18120509,55262293,147748987,24405581,123343390,16
2020-07-15,45472722,11486875,80658646,253339,13417,5.2,13416155,6400605,7015551,1148,875,273,0,17519236,27691098,2950791,0,5772364,17523209,53937463,148209848,24369329,123840504,16
2020-07-16,45397799,11538268,81580577,255584,15104,6.0,13516970,6454911,7062059,1148,875,273,0,17493437,28161729,2964709,0,6416006,18026869,55569313,150519931,24369041,126150874,16
2020-07-17,45714868,11513939,82201978,280048,14701,5.8,13535803,6454866,7080937,1148,875,273,0,17441858,28774531,3003080,0,6866910,18665014,57309535,151129540,24451604,126677920,16
2020-07-20,45533779,11511604,82506854,287677,16813,6.0,13568102,6470721,7097380,1143,875,268,0,17458507,29037597,3024149,0,7113265,19102657,58277668,151054183,24518541,126535627,16
2020-07-21,46156536,11623177,82587913,248560,12738,4.4,13669002,6529115,7139887,1143,875,268,0,17459457,29032620,3021889,0,7080017,19502677,58637203,151823769,24560026,127263728,16
2020-07-22,45908131,11554052,82329586,278763,11814,4.8,13767873,6595837,7172036,1141,873,268,0,17849873,27908884,2991387,0,6085541,17587049,54572862,151746778,24540663,127206099,16
2020-07-23,46677113,11627648,82335255,287922,12579,4.5,13862346,6656111,7206235,1141,873,268,0,17831921,28156365,3014411,0,6327097,18055810,55553683,151700828,24493721,127207091,16
2020-07-24,47106294,11635658,82205562,307106,14581,5.1,14049616,6742179,7307437,1141,873,268,0,17740596,28784576,3037249,0,6744042,19000340,57566207,150841551,24520318,126321217,16
2020-07-27,47328460,11722603,82346236,346966,15528,5.1,14030241,6726623,7303618,1141,873,268,0,17771105,28682113,3062550,0,6668767,18786911,57200341,150795277,24595432,126199829,16
2020-07-28,46975258,11724639,82109112,339106,15526,4.5,13953742,6685312,7268430,1141,873,268,0,17832688,28353334,3038142,0,6526565,18719412,56637454,151869755,24559113,127310627,16
2020-07-29,47448434,11531438,82098945,317070,17110,5.0,14057681,6697553,7360128,1141,873,268,0,17733143,28317567,3038344,0,6482068,18674118,56512097,151381250,24540320,126840914,16
2020-07-30,47645769,11491265,81676388,281634,17452,5.5,14211958,6735070,7476889,1140,873,267,0,17787908,28157014,3052396,0,6285847,18345700,55840957,149802772,24513149,125289607,16
2020-07-31,47786310,11460145,81315881,268599,14119,5.0,14325916,6771467,7554449,1135,873,262,0,17682223,28300715,3043028,0,6434926,18298309,56076978,146566030,24463081,122102933,16
2020-08-03,50354642,11391289,83032684,253532,15092,5.6,14420830,6789876,7630955,1130,868,262,0,17591192,29136179,3052171,0,6855299,19547563,58591214,147081614,24502566,122579032,16
2020-08-04,49234645,11560787,82443307,248703,13580,5.4,14544653,6841859,7702794,1130,868,262,0,17687392,28517394,3052995,0,6462115,18853050,56885554,149837126,24597133,125239977,16
2020-08-05,48056324,11758380,82397659,291886,13749,5.5,14667003,6917019,7749984,1130,868,262,0,17693016,28441412,3057463,0,6401988,18884796,56785659,151001457,24619172,126382269,16
2020-08-06,48874945,11804961,82321689,325540,12368,4.2,14814683,7010331,7804352,1130,868,262,0,17917145,28003482,3032025,0,6083731,18109234,55228473,151487151,24577727,126909408,16
