date,code,name,action,price,amount,sector
2026-09-09,439090,마녀공장,COVER,15890.0,42251510.0,화장품
2026-09-09,455900,엔젤로보틱스,SHORT,21300.0,38063100.0,기계
2026-09-09,484810,티엑스알로보틱스,SHORT,13400.0,47583400.0,기계
2026-09-09,464080,에스오에스랩,SHORT,9980.0,47584640.0,전자장비및기기
2026-09-09,036630,세종텔레콤,SHORT,9370.0,47590230.0,통신
2026-09-09,182360,큐브엔터,SHORT,6110.0,28552030.0,미디어
2026-09-09,290720,푸드나무,SHORT,2710.0,38070080.0,음식료
2026-09-09,0011A0,액스비스,SHORT,11110.0,47584130.0,기타
2026-09-09,040300,YTN,SHORT,1993.0,19035143.0,미디어
2026-09-09,489460,바이오비쥬,SHORT,10780.0,47582920.0,화장품
2026-09-09,042520,한스바이오메드,BUY,21200.0,47594000.0,의료기기
