종목명,시가총액(억원),2026_영업이익(십억원),2027_영업이익(십억원),영업이익_증가율
오뚜기,13686.7,207.5,216.0,0.041
대한약품,1620.0,34.7,36.1,0.0403
동양생명,12875.2,234.0,243.3,0.0397
LX세미콘,5790.1,74.5,77.5,0.0396
세보엠이씨,2198.5,55.9,58.0,0.0376
하나제약,1578.2,27.1,28.1,0.0369
LF,6622.9,166.4,172.4,0.0361
보령,7549.3,80.2,83.0,0.0352
TKG휴켐스,6724.5,86.9,89.9,0.0349
이지바이오,2084.2,52.5,54.3,0.0343
한솔제지,1861.2,118.8,122.7,0.0328
대한조선,18720.6,364.7,374.9,0.0281
SGC E&C,604.4,72.0,74.0,0.0278
이지홀딩스,2880.6,199.2,204.5,0.0266
메가스터디교육,4265.3,121.2,124.4,0.0264
현대엘리베이터,28342.0,214.0,219.0,0.0234
정상제이엘에스,907.7,11.3,11.5,0.0177
미래에셋생명,23507.8,193.1,196.5,0.0176
코메론,1918.2,18.3,18.6,0.0164
KB금융,623541.0,9421.4,9576.2,0.0164
한국석유,1354.5,24.7,25.1,0.0162
한텍,2774.7,39.4,40.0,0.0152
롯데정밀화학,12525.9,163.2,165.1,0.0119
삼천리,4355.8,178.8,180.9,0.0117
팬오션,32288.0,678.5,679.9,0.0021
DL이앤씨,27859.4,574.5,575.7,0.0021
PI첨단소재,5632.5,70.6,70.7,0.0014
고려신용정보,1337.0,18.0,18.0,0.0
율촌,247.8,6.0,6.0,0.0
엘앤에프,36696.3,256.9,256.0,-0.0033
LX인터내셔널,14651.3,466.2,463.9,-0.0049
동인기연,794.2,30.1,29.9,-0.0061
HS화성,1186.5,32.0,31.8,-0.0062
강원랜드,31427.9,225.3,223.8,-0.0063
대한해운,6600.2,246.6,244.9,-0.0065
한국앤컴퍼니,24540.8,457.4,453.6,-0.0083
클리오,2022.2,23.7,23.5,-0.0098
지역난방공사,7468.3,400.4,393.4,-0.0175
대우건설,67429.9,832.6,817.8,-0.0178
디앤씨미디어,881.3,9.4,9.2,-0.0213
HD현대,177734.4,11191.8,10936.1,-0.0229
효성,26466.6,544.0,530.0,-0.0257
오리온홀딩스,16693.5,602.8,585.6,-0.0285
한미약품,50283.1,300.9,292.2,-0.0288
동원시스템즈,6450.6,97.9,95.0,-0.0296
시프트업,19238.0,106.8,103.6,-0.0297
현대코퍼레이션,3598.3,195.3,189.5,-0.0299
한국가스공사,33001.9,2265.1,2191.5,-0.0325
유바이오로직스,3193.8,45.0,43.5,-0.0333
자화전자,5433.8,82.4,79.0,-0.0413
에이치시티,490.0,19.2,18.1,-0.0573
DL,10666.5,649.6,610.5,-0.0602
LX하우시스,3089.4,128.5,119.5,-0.0701
와이지엔터테인먼트,7766.1,76.1,70.7,-0.0714
한국금융지주,104764.9,3539.1,3250.4,-0.0816
풍산,23428.3,426.6,386.7,-0.0936
고려아연,230855.0,2391.7,2155.3,-0.0988
삼성증권,81263.0,2339.6,2105.6,-0.1
NH투자증권,102639.3,2343.3,2058.7,-0.1215
풍산홀딩스,5370.4,142.2,121.8,-0.1438
콜마비앤에이치,2600.3,43.3,36.8,-0.1501
대신증권,12440.9,455.0,383.7,-0.1568
키움증권,72783.6,2304.8,1939.8,-0.1584
GS,91873.6,4129.6,3466.5,-0.1606
SK가스,21106.5,612.5,513.0,-0.1624
지투파워,1421.9,13.3,11.0,-0.1729
에스앤디,1686.5,49.0,40.4,-0.1755
코리안리,25677.6,600.7,491.7,-0.1815
바이오비쥬,1586.0,10.8,8.4,-0.2222
S-Oil,154913.9,4155.6,3081.5,-0.2585
HMM,205625.9,1463.3,1010.4,-0.3095
미래에셋증권,189693.2,4263.8,2634.9,-0.382
SK이노베이션,203370.5,8033.0,4067.8,-0.4936
펄어비스,22372.4,476.7,198.9,-0.5827
동화약품,1421.7,,,
KR모터스,213.3,,,
경방,2407.1,,,
삼양홀딩스,4626.9,,,
하이트진로홀딩스,1916.9,,,
성창기업지주,742.2,,,
유유제약,582.7,,,
일동홀딩스,735.1,,,
DH오토넥스,1740.4,,,
SP삼화,1678.5,,,
롯데손해보험,6197.4,,,
대원강업,2321.9,,,
CR홀딩스,2203.9,,,
대동,1940.0,,,
삼일제약,1518.4,-7.7,0.6,
흥국화재,2097.5,,,
CS홀딩스,760.8,,,
천일고속,2082.4,,,
영풍,6950.0,,,
LS네트웍스,2293.2,,,
유수홀딩스,1700.5,,,
이화산업,364.3,,,
화천기공,728.2,,,
강남제비스코,1599.0,,,
보해양조,380.9,,,
유니온,451.2,,,
전방,523.3,,,
한국주철관,1525.4,,,
페이퍼코리아,694.1,,,
대한방직,323.8,,,
만호제강,1647.5,,,
대한제분,1960.4,,,
유진투자증권,4092.6,,,
금호전기,391.1,,,
남광토건,737.4,,,
부국증권,5776.0,,,
상상인증권,1303.3,,,
삼성제약,1226.0,,,
SG글로벌,309.4,,,
KG케미칼,3230.5,,,
태원물산,190.4,,,
BYC,2389.2,,,
삼부토건,797.0,,,
현대차증권,4909.5,,,
SK증권,5123.2,,,
동양,1170.8,,,
조비,514.0,,,
제일연마,654.4,,,
금양,6332.8,,,
케이비아이동국실업,474.1,,,
신영증권,24890.2,,,
한양증권,2947.9,,,
SHD,82.7,,,
대한제당,2371.7,,,
KISCO홀딩스,3749.7,-13.0,14.0,
아세아,3977.7,,,
비비안,136.8,,,
경농,1794.1,,,
고려산업,526.2,,,
도화엔지니어링,1716.3,,,
SYTS,1647.0,,,
한국수출포장,814.0,,,
동성제약,1460.9,,,
한일철강,1089.3,,,
고려제강,4671.0,,,
아세아제지,3156.0,,,
SH에너지화학,181.3,,,
한독,1307.5,,,
범양건영,531.7,,,
세기상사,335.5,,,
삼익악기,1023.0,,,
조흥,820.2,,,
제일파마홀딩스,1214.0,,,
오리엔트바이오,631.5,,,
동일제강,299.6,,,
신일전자,707.4,,,
TCC스틸,2595.2,-5.9,28.0,
국제약품,708.9,,,
보락,600.8,,,
진흥기업,1146.3,,,
삼영무역,4256.6,,,
SUN&L,299.8,,,
미원상사,5598.0,,,
신풍,339.8,,,
디와이에이,357.4,,,
TYM,2649.6,83.3,,
유성기업,481.6,,,
한국쉘석유,6669.0,,,
부광약품,4267.2,,,
혜인,751.3,,,
에이프로젠바이오로직스,311.3,,,
SB성보,455.5,,,
일성아이에스,2713.2,,,
일신방직,2403.9,,,
태광산업,10232.1,,,
흥아해운,4051.2,,,
한일홀딩스,5466.4,,,
한국화장품제조,1946.5,,,
유화증권,1772.0,,,
유안타증권,8766.9,,,
한진중공업홀딩스,1408.6,,,
영진약품,2244.1,,,
한화투자증권,9407.9,,,
HLB글로벌,743.2,,,
방림,1814.3,,,
미창석유,2592.1,,,
한성기업,377.5,,,
삼영,2380.0,26.8,,
진양산업,495.9,,,
대한화섬,1529.9,,,
남양유업,2516.2,,,
사조대림,2900.6,,,
SG세계물산,517.2,,,
신흥,1305.7,,,
태양금속,884.5,,,
동방,894.7,,,
NPC,1064.9,,,
남성,259.9,,,
현대약품,1968.0,,,
세방,2519.4,,,
삼익THK,1757.4,,,
서울식품,423.0,,,
송원산업,2880.0,,,
삼일씨엔에스,617.5,,,
삼화왕관,561.2,,,
깨끗한나라,438.0,,,
현대비앤지스틸,1809.5,,,
조광피혁,4248.8,,,
한솔테크닉스,3718.4,88.6,,
팜젠사이언스,740.8,,,
써니전자,592.3,,,
덕성,517.4,,,
DRB동일,852.8,,,
티웨이홀딩스,256.9,,,
동일산업,830.6,,,
조광페인트,475.5,,,
씨아이테크,483.2,,,
한신공영,1219.6,,,
신라교역,1481.6,,,
휴스틸,2039.6,,,
부산주공,450.9,,,
한창,264.7,,,
녹십자홀딩스,4848.6,,,
온타이드,257.8,,,
모나미,302.7,,,
코스모화학,3959.9,,,
한국공항,2843.4,,,
넥센,3252.5,,,
크라운해태홀딩스,859.7,,,
대림바스,745.0,,,
신영와코루,1205.1,,,
원림,326.1,,,
휴니드,625.3,,,
이수화학,3760.1,,,
화승인더,1410.7,,,
사조오양,802.8,,,
SK디스커버리,9281.5,,,
한국전자홀딩스,192.8,,,
제주은행,3477.5,,,
대원전선,10813.3,,,
대구백화점,499.4,,,
카프로,6185.4,,,
프리티,292.5,,,
대림통상,303.0,,,
삼성공조,872.0,,,
블루산업개발,249.7,,,
AK홀딩스,986.9,,,
신송홀딩스,535.8,,,
태경케미컬,664.7,,,
우성,508.3,,,
일신석재,569.3,,,
미래아이앤지,320.0,,,
사조산업,2635.0,,,
벽산,962.8,40.0,,
한국특강,549.4,,,
에이프로젠,599.3,,,
샘표,1286.9,,,
일양약품,1622.3,,,
동방아그로,759.9,,,
선도전기,767.7,,,
F&F홀딩스,5546.4,,,
서연,1873.7,,,
TP,847.0,,,
사조동아원,916.0,,,
대덕,4602.3,,,
이건산업,288.6,,,
NI스틸,929.5,,,
남선알미늄,1338.6,,,
문배철강,436.7,,,
윌비스,176.2,,,
아남전자,930.1,,,
금비,393.0,,,
한미사이언스,30536.8,,,
KBI동양철관,1156.0,,,
KCTC,1194.0,,,
경인전자,347.9,,,
SIMPAC,3121.5,,,
대양금속,783.0,,,
무림페이퍼,637.5,,,
신원,1222.3,,,
광동제약,3217.1,,,
참엔지니어링,233.3,,,
아진전자부품,504.3,,,
태영건설,4823.9,,,
KC그린홀딩스,175.7,,,
한창제지,376.5,,,
삼화전기,1508.0,41.2,,
모토닉,2208.1,,,
삼정펄프,678.7,,,
플레이그램,292.9,,,
한국내화,669.0,,,
한국무브넥스,1111.4,,,
우진아이엔에스,311.7,,,
에스엠벡셀,1699.9,4.5,,
진양폴리,277.2,,,
화천기계,627.0,,,
평화홀딩스,544.8,,,
퍼스텍,2940.9,,,
삼호개발,746.5,,,
진원생명과학,485.3,,,
에넥스,199.3,,,
CJ씨푸드,724.0,,,
삼화전자,514.6,,,
태림포장,1243.4,,,
우성머티리얼스,549.9,,,
유니켐,533.0,,,
부산산업,424.5,,,
갤럭시아에스엠,399.2,,,
한농화성,2037.5,,,
와이투솔루션,1225.9,,,
한신기계,798.2,,,
SKC,40273.8,-66.0,78.7,
STX,1094.9,,,
DB,2935.1,,,
삼양바이오팜,3268.1,,,
영흥,367.1,,,
아센디오,151.5,,,
계양전기,1090.3,,,
영화금속,395.7,,,
경동인베스트,1099.7,,,
경인양행,1283.9,,,
모나리자,525.5,,,
대창,1080.9,,,
세우글로벌,347.6,,,
일성건설,770.4,,,
화승코퍼레이션,1346.4,,,
디와이,1088.3,,,
까뮤이앤씨,944.1,,,
지엠비코리아,749.5,,,
지누스,1776.0,-67.0,14.0,
한익스프레스,298.4,,,
대영포장,767.4,,,
금강공업,1217.2,,,
영보화학,910.0,,,
극동유화,1121.1,,,
태경비케이,1124.0,,,
사조씨푸드,1885.4,,,
성문전자,377.0,,,
인디에프,274.2,,,
이스타코,198.8,,,
대창단조,1606.9,,,
에이엔피,176.2,,,
INVENI,3877.7,,,
DKME,886.4,,,
일진홀딩스,3128.6,,,
태경산업,1372.3,,,
대현,663.3,,,
한세예스24홀딩스,1768.0,106.3,,
신대양제지,4058.0,,,
DB증권,3879.6,,,
대성홀딩스,1111.8,,,
두올,966.3,,,
퍼시스,3053.2,,,
웅진,1618.5,,,
광명전기,403.9,,,
명문제약,393.9,,,
서울가스,2742.3,,,
수산세보틱스,1095.1,,,
DS단석,2106.2,,,
광전자,4525.4,,,
조일알미늄,1285.3,,,
동원모빌리티,667.2,,,
신풍제약,4434.6,,,
티에이치엔,1092.6,,,
엑시큐어하이트론,413.5,,,
