종목명,시가총액(억원),2026_영업이익(십억원),2027_영업이익(십억원),영업이익_증가율
삼목에스폼,2033.0,,,
우진비앤지,181.6,,,
서울제약,230.6,,,
졸스,165.1,,,
베뉴지,1728.0,,,
와이지-원,6914.3,,,
일지테크,886.5,,,
SBI인베스트먼트,806.3,,,
GMI벤처,242.0,,,
글로본,225.5,,,
서연탑메탈,411.2,,,
에너토크,474.6,,,
대신정보통신,321.3,,,
대동금속,175.4,,,
시공테크,751.8,,,
대호특수강,202.5,,,
에이티넘인베스트,1106.4,,,
한국큐빅,331.1,,,
메이슨캐피탈,255.7,,,
티케이지애강,341.8,,,
유진기업,2601.5,,,
제이스코홀딩스,469.6,,,
삼보판지,1405.5,,,
한국캐피탈,2114.6,,,
플레이위드,218.3,,,
동일스틸럭스,201.9,,,
풍국주정,931.1,,,
흥구석유,1570.5,,,
KB오토시스,346.7,,,
한일단조,689.2,,,
유성티엔에스,1488.3,,,
세원물산,734.0,,,
KBI메탈,2076.0,,,
HLB이노베이션,3743.7,-35.0,-34.0,
케이피에프,762.8,,,
경창산업,501.8,,,
PN풍년,198.0,,,
삼천리자전거,471.2,,,
DH오토웨어,335.6,,,
한국선재,556.2,,,
한국정보통신,3014.3,,,
신라에스지,107.6,,,
케이씨피드,427.1,,,
동화기업,4074.9,-1.1,8.5,
동신건설,892.1,,,
아난티,3794.7,,,
제이에스티나,284.4,,,
특수건설,659.7,,,
광진실업,352.0,,,
서울전자통신,309.7,,,
코리아나,596.0,,,
아주IB투자,3834.3,,,
상보,204.8,,,
팜스토리,1192.2,,,
대성창투,535.7,,,
휴맥스홀딩스,116.1,,,
HLB,49682.9,,,
광무,873.7,,,
드래곤플라이,151.7,,,
원익홀딩스,14713.8,,,
양지사,727.9,,,
아이즈비전,291.5,,,
에스에이엠티,10019.5,,,
오스템,335.7,,,
디에이치엑스컴퍼니,187.1,,,
아즈텍WB,235.8,,,
다우데이타,7273.2,,,
삼일,213.2,,,
한국파마,845.3,,,
TJ미디어,653.0,,,
피델릭스,1597.0,,,
GC메디아이,1579.0,,,
소프트센,185.6,,,
삼진,269.6,,,
엠젠솔루션,241.9,,,
판타지오,197.4,,,
우리기술,19351.9,,,
비트컴퓨터,681.6,,,
더라미,278.7,,,
원익,1038.8,,,
동일기연,370.3,,,
제이엠아이,298.0,,,
제룡전기,7228.1,,,
디지틀조선,700.4,,,
시그네틱스,291.5,,,
모아텍,237.0,,,
인성정보,493.5,,,
로젠,898.5,,,
엠투엔,534.4,,,
제이씨현시스템,560.1,,,
좋은사람들,297.6,,,
파라텍,411.2,,,
블루콤,897.8,,,
피노,4666.0,,,
티비씨,300.6,,,
해성산업,2008.5,,,
조아제약,170.4,,,
한국기업평가,4631.3,,,
그래디언트,1135.1,,,
프럼파스트,233.7,,,
골드앤에스,73.7,,,
기산텔레콤,338.7,,,
솔본,1316.7,,,
바른손이앤에이,145.9,,,
서희건설,4224.4,,,
예림당,648.4,,,
케이티알파,2303.9,,,
위지트,536.6,,,
에이치엠넥스,1623.1,,,
금화피에스시,1926.0,,,
오상헬스케어,1011.7,,,
대성미생물,236.7,,,
KZ정밀,1954.6,,,
세종텔레콤,959.0,,,
삼양케이씨아이,536.9,,,
코맥스,1256.9,,,
심텍홀딩스,1928.2,,,
솔브레인홀딩스,7248.2,,,
파워넷,915.9,31.0,,
파세코,1220.0,,,
한국팩키지,412.1,,,
인지디스플레,355.5,,,
성도이엔지,1140.8,,,
EG,268.2,,,
우리엔터프라이즈,185.9,,,
삼지전자,5874.7,,,
쎄니트,810.3,,,
엘컴텍,518.5,,,
제일테크노스,479.7,,,
루멘스,426.2,,,
서린바이오,417.6,,,
에코플라스틱,798.7,,,
레드캡투어,1665.4,,,
바이오스마트,720.3,,,
케이바이오랩스,269.5,,,
상상인,1247.7,,,
위즈코프,266.0,,,
에스넷,760.7,,,
에코심플렉스,253.8,,,
아이에이,265.3,,,
파인디지털,295.1,,,
현대에이치티,700.4,,,
이건홀딩스,565.7,,,
경남스틸,506.1,,,
인포뱅크,315.2,,,
세중,220.5,,,
한국경제TV,1059.3,,,
케이엘넷,641.4,,,
다산네트웍스,1072.2,,,
화성밸브,549.7,,,
한국정보공학,256.6,,,
나노엔텍,1455.2,6.0,,
폴라리스AI,930.5,,,
누리플렉스,583.5,,,
YTN,975.0,,,
크레오에스지,1455.5,,,
SG&G,533.5,,,
아이씨디,761.5,,,
폴라리스오피스,1525.3,,,
우리기술투자,3847.2,,,
현대에버다임,1131.2,,,
한국전자인증,646.0,,,
이엘씨,1321.3,,,
플래스크,1160.6,,,
폴라리스AI파마,725.3,,,
SY동아,699.2,,,
코미팜,6147.4,,,
케이피엠테크,484.7,,,
에스씨디,546.6,,,
비츠로테크,2248.0,,,
네오위즈홀딩스,1937.9,,,
링네트,974.1,,,
새로닉스,1238.6,,,
상지건설,410.4,,,
더테크놀로지,4.3,,,
알파AI,104.6,,,
파루,214.0,,,
티에스넥스젠,281.9,,,
에쎈테크,475.0,,,
디지아이,202.9,,,
웰킵스하이텍,152.0,,,
국순당,633.1,,,
코스리거글로벌,603.3,,,
자연과환경,361.2,,,
KD,54.8,,,
위닉스,847.2,,,
빌리언스,287.6,,,
에이치케이,240.6,,,
이글벳,388.7,,,
에이치엔에스하이텍,923.8,,,
오공,357.5,,,
한양이엔지,5250.0,,,
성우테크론,256.3,,,
토탈소프트,564.0,,,
대아티아이,1811.2,,,
정원엔시스,318.9,,,
크린앤사이언스,190.8,,,
에이텍,700.4,,,
코아시아,690.8,,,
코다코,1592.0,,,
오르비텍,1587.8,,,
HLB파나진,503.5,,,
백금T&A,371.1,,,
삼화네트웍스,360.1,,,
우원개발,539.5,,,
우리로,2088.3,,,
한빛소프트,254.4,,,
파워로직스,1113.0,,,
이스트소프트,974.3,,,
코데즈컴바인,1014.2,,,
초록뱀미디어,792.3,,,
HLB제약,2751.9,,,
현대바이오,6552.7,,,
유라테크,667.0,,,
대동스틸,252.3,,,
인트론바이오,807.8,,,
SM C&C,1662.5,,,
TPC로보틱스,470.9,,,
엔피케이,191.9,,,
시너지이노베이션,1475.8,,,
기가레인,776.7,,,
파인디앤씨,223.2,,,
셀루메드,839.8,,,
비트플래닛,371.5,,,
오픈베이스,597.0,,,
유아이엘,1175.1,,,
잉크테크,653.9,,,
재영솔루텍,1429.9,,,
승일,401.0,,,
미래컴퍼니,878.3,,,
쎌바이오텍,1462.6,,,
비케이홀딩스,121.9,,,
캠시스,292.0,,,
ES큐브,404.9,,,
에스폴리텍,176.9,,,
아세아텍,371.5,,,
수산아이앤티,562.4,,,
지어소프트,1736.2,,,
피씨디렉트,262.3,,,
YW,475.8,,,
나라엠앤디,389.8,,,
큐로홀딩스,186.0,,,
중앙첨단소재,1123.1,,,
에스티큐브,5955.3,,,
iMBC,403.6,,,
현대바이오랜드,1122.0,,,
오션인더블유,220.9,,,
코텍,2207.8,,,
오성첨단소재,886.5,,,
아이크래프트,914.5,,,
한네트,363.1,,,
아이톡시,45.5,,,
액토즈소프트,447.9,,,
아이앤씨,812.9,,,
KX하이텍,815.0,23.7,,
바이넥스,2268.3,-4.4,10.0,
지에스이,513.4,,,
세동,241.6,,,
케이엔솔,1093.3,47.8,,
프리엠스,557.4,,,
금강철강,995.9,,,
구영테크,540.0,,,
예스24,807.5,,,
NE능률,298.5,,,
한국정보인증,1828.6,,,
이니텍,830.2,,,
태양,569.3,,,
삼보모터스,1092.7,,,
안랩,6598.0,,,
경남제약,315.9,,,
오상자이엘,476.5,,,
한국컴퓨터,827.7,,,
NH농우바이오,1112.5,17.0,,
삼진엘앤디,234.6,,,
메디콕스,126.9,,,
이랜텍,1957.5,54.6,,
비츠로시스,200.1,,,
팬스타엔터프라이즈,589.7,,,
케이피티유,201.3,,,
삼영엠텍,847.6,,,
APS,771.6,,,
대한뉴팜,826.8,,,
키이스트,258.5,,,
아이디스홀딩스,1559.4,,,
한컴위드,1124.5,,,
유신,522.6,,,
엑사이엔씨,252.1,,,
유진로봇,4764.1,,,
코위버,561.4,,,
신화인터텍,416.6,,,
CNT85,212.8,,,
YBM넷,363.0,,,
옴니시스템,498.3,,,
티사이언티픽,261.4,,,
멕아이씨에스,254.4,,,
KNN,619.8,,,
한주에이알티,186.0,,,
엠게임,828.8,,,
CMG제약,1059.1,,,
미코,5209.7,,,
아이컴포넌트,381.8,,,
아진엑스텍,1234.1,,,
해성에어로보틱스,654.3,,,
인선이엔티,1396.5,,,
제이케이시냅스,159.6,,,
뉴보텍,173.9,,,
3S,562.4,,,
동양에스텍,234.6,,,
국일신동,123.3,,,
에스에이티,297.7,,,
HC홈센타,466.4,,,
드림어스컴퍼니,539.5,,,
씨티씨바이오,741.1,,,
영림원소프트랩,417.1,,,
에이전트AI,176.6,,,
알에프텍,577.3,,,
화일약품,734.0,,,
한국첨단소재,862.0,,,
컴투스홀딩스,841.5,,,
서울옥션,942.0,,,
SM Life Design,502.1,,,
이엘피,226.6,,,
인크레더블버즈,396.9,,,
홈캐스트,516.3,,,
브리지텍,328.7,,,
테크엘,333.9,,,
바이오니아,1783.5,,,
포니링크,509.4,,,
케이프,2647.8,,,
지엔코,207.6,,,
탑엔지니어링,449.7,,,
대산F&B,257.6,,,
비엘팜텍,651.8,,,
신성델타테크,8561.2,,,
위세아이텍,234.4,,,
에스아이리소스,72.8,,,
이루온,418.4,,,
빅텍,870.1,,,
오리엔트정공,422.5,,,
휴비츠,757.1,,,
와이어블,616.2,,,
삼영이엔씨,123.0,,,
하이퍼코퍼레이션,187.5,,,
안트로젠,1694.0,,,
우주일렉트로,2046.8,,,
파커스,193.2,,,
서호전기,2258.3,,,
CS,167.6,,,
웰크론,286.3,,,
하츠,453.1,,,
큐에스아이,661.1,,,
체리부로,321.3,,,
버킷스튜디오,1596.4,,,
아이로보틱스,810.5,,,
스모트로닉,1011.4,,,
국보디자인,1807.5,,,
디티씨,533.7,,,
테라젠이텍스,796.9,,,
씨씨에스,973.6,,,
디에이피,391.2,,,
손오공,271.1,,,
이씨에스,228.1,,,
대화제약,1759.3,,,
오텍,571.2,,,
멀티캠퍼스,1496.5,,,
JW신약,1221.6,,,
선바이오,795.1,,,
아스트,2131.1,,,
엔브이에이치코리아,732.1,,,
HLB생명과학,3047.9,,,
로지시스,210.9,,,
세진티에스,193.1,,,
와이엔텍,1081.1,,,
이글루,613.6,17.7,,
도이치모터스,1135.2,,,
팬엔터테인먼트,322.6,,,
케이웨더,271.9,,,
다원시스,965.5,,,
일신바이오,416.5,,,
셀트리온제약,19625.8,,,
DMS,1828.2,,,
셀피글로벌,357.2,,,
누리플랜,260.3,,,
유아이디,172.4,,,
엔텔스,292.0,,,
에스텍,1374.7,,,
빛과전자,3386.4,,,
엑시온그룹,148.4,,,
퀀텀레일,578.7,,,
인티큐브,233.9,,,
인피니트헬스케어,2320.1,,,
로체시스템즈,907.1,,,
에이테크솔루션,515.0,,,
캐스텍코리아,339.4,,,
중앙백신,860.0,,,
우리산업홀딩스,475.0,,,
멤레이비티,308.4,,,
메가스터디,1577.1,,,
빛샘전자,648.2,,,
케이에스피,1063.1,,,
엘엠에스,431.0,,,
듀오백,186.6,,,
에프알텍,265.6,,,
우리손에프앤지,1044.8,,,
리튬포어스,195.6,,,
테라사이언스,761.1,,,
아미노로직스,899.9,,,
플랜티넷,349.0,,,
동국알앤에스,296.6,,,
웰크론한텍,210.8,,,
해성옵틱스,627.3,,,
LS증권,3550.8,,,
유비쿼스홀딩스,1577.9,,,
국일제지,4143.2,,,
대봉엘에스,898.0,,,
HB테크놀러지,1790.3,,,
메디포스트,3861.7,,,
한양디지텍,3048.9,,,
휴림에이텍,355.7,,,
아이오케이이엔엠,192.7,,,
와토스코리아,310.3,,,
한창산업,290.7,,,
케스피온,116.5,,,
서산,808.0,,,
APS이노베이션,723.3,,,
가비아,5770.9,,,
인베니아,152.2,,,
동양이엔피,1521.7,58.7,,
투비소프트,76.5,,,
이상네트웍스,786.8,,,
제주반도체,25969.9,,,
모다이노칩,1366.4,,,
성창오토텍,216.4,,,
오디텍,344.8,,,
코디,258.5,13.4,,
한국유니온제약,215.6,,,
티플랙스,646.8,,,
성우전자,379.2,,,
젬백스,5299.0,,,
코스나인,478.3,,,
비보존 제약,1709.3,,,
우리바이오,453.1,,,
엘오티베큠,1465.8,,,
이엠앤아이,209.1,,,
케이엠,385.0,,,
인콘,267.9,,,
CSA 코스믹,206.5,,,
CG인바이츠,764.3,,,
휴온스글로벌,3146.0,,,
수성웹툰,92.5,,,
유비온,225.6,,,
랩지노믹스,654.8,,,
팅크웨어,722.1,22.9,,
헬릭스미스,1567.2,,,
차바이오텍,8646.5,,,
뉴프렉스,727.7,,,
알티캐스트,236.9,,,
바이오톡스텍,359.9,,,
진바이오텍,416.3,,,
에코프로,116767.5,,,
비엠티,1630.8,,,
선진뷰티사이언스,949.4,19.0,,
바이오솔루션,1547.7,-1.0,7.0,
이수앱지스,1372.1,,,
MDS테크,836.5,,,
쇼박스,1248.8,,,
펩트론,42390.9,-41.1,-49.7,
모바일어플라이언스,80.4,,,
픽셀플러스,325.8,,,
동아엘텍,972.2,,,
쏘닉스,439.6,,,
이원컴포텍,204.2,,,
유라클,303.3,-3.5,,
이녹스,675.8,,,
에이스테크,1551.7,,,
동우팜투테이블,551.7,,,
넥스턴앤롤코리아,341.6,,,
케이씨티,317.3,,,
THE E&M,670.5,,,
제이티,405.4,,,
유비벨록스,647.4,,,
코세스,3507.7,,,
아이윈,209.0,,,
로보스타,8492.2,,,
덕신이피씨,376.5,,,
제이스로보틱스,752.4,,,
휴림로봇,8345.2,,,
현대이지웰,1146.4,,,
이엠텍,704.2,,,
S&K폴리텍,235.8,,,
한울소재과학,1026.2,,,
남화토건,531.2,,,
LSK아이로봇,301.8,,,
아미코젠,723.5,,,
디엔에프,1463.8,,,
서울바이오시스,2775.0,,,
현우산업,490.6,,,
앤씨앤,94.1,,,
빅솔론,1644.9,,,
풍강,263.3,,,
케이알엠,1330.2,,,
서원인텍,910.5,,,
갤럭시아머니트리,2004.6,,,
일진파워,1737.1,,,
참좋은여행,584.5,,,
네오리진,718.0,,,
푸른로보틱스,523.4,,,
제이엠티,519.2,,,
신화프리텍,1266.1,,,
웨이브일렉트로,628.8,,,
미래나노텍,2254.4,,,
제넥신,1202.3,,,
에스에너지,269.7,,,
크레버스,870.2,,,
와이즈넛,756.2,,,
대창솔루션,663.4,,,
알에프세미,515.5,,,
에스코넥,311.8,,,
에이루트,227.3,,,
엘디티,194.5,,,
에코볼트,242.1,,,
윈팩,460.9,,,
효성오앤비,388.0,,,
에스티오,220.5,,,
SDN,439.4,,,
브레인즈컴퍼니,281.1,,,
동방선기,418.6,,,
스맥,2750.2,,,
DGI,581.4,,,
이지케어텍,927.5,,,
인지소프트,645.2,,,
머큐리,595.6,,,
서암기계공업,369.8,,,
세운메디칼,1029.3,,,
미래에셋벤처투자,7537.8,,,
KS인더스트리,123.3,,,
월덱스,4730.4,,,
우림피티에스,1084.0,,,
씨큐브,358.3,,,
모베이스,810.1,,,
에코앤드림,1298.4,,,
엔시트론,210.8,,,
에스앤에스텍,8715.3,58.3,,
하이드로리튬,461.6,,,
한국정밀기계,217.7,,,
위메이드맥스,2740.4,,,
인화정공,3312.9,,,
우양에이치씨,1501.2,,,
어보브반도체,1244.7,,,
케이옥션,829.7,,,
코오롱생명과학,2042.1,,,
에스앤더블류,186.5,,,
우양,293.8,,,
디에스엠,746.8,,,
NHN벅스,404.8,,,
디와이피엔에프,915.1,,,
티케이케미칼,1477.1,,,
코렌텍,567.1,,,
노랑풍선,521.1,,,
케이엔더블유,1070.1,,,
엣지파운드리,310.9,,,
디케이락,732.1,,,
포스뱅크,405.1,,,
케이이엠텍,95.1,,,
하이텍팜,1209.0,,,
파인테크닉스,294.1,,,
새빗켐,815.3,,,
톱텍,1186.3,,,
셀바스AI,2874.5,22.4,,
옵티시스,493.7,,,
에스와이,935.1,,,
씨싸이트,230.8,,,
디에스케이,1037.4,,,
진매트릭스,302.8,,,
동일금속,667.9,,,
앱토크롬,253.3,,,
전진바이오팜,172.2,,,
크리스에프앤씨,714.6,37.0,,
디아이티,2889.8,,,
남화산업,585.7,,,
디젠스,134.4,,,
강원에너지,2450.3,,,
그린생명과학,458.0,,,
폴라리스우노,268.4,,,
휴맥스,233.5,,,
큐리언트,8590.3,,,
인포바인,1097.5,,,
HLB테라퓨틱스,1802.6,,,
씨유메디칼,227.3,,,
케이씨에스,1000.8,,,
씨엔플러스,195.9,,,
스타플렉스,185.2,,,
이미지스,195.4,,,
알파칩스,590.2,,,
티로보틱스,3261.9,,,
포메탈,296.2,,,
아이텍,1369.4,1.3,,
대정화금,1057.7,,,
골프존홀딩스,2818.7,,,
비덴트,2563.1,,,
코이즈,58.7,,,
에스디시스템,254.7,,,
제노레이,497.7,,,
삼기,572.0,,,
서진오토모티브,392.8,,,
와이솔,1550.4,-4.1,13.0,
알엔티엑스,363.6,,,
엠에스오토텍,1032.7,,,
위메이드플레이,630.3,,,
이엠넷,373.8,,,
알톤,244.6,,,
뉴온,305.8,,,
태웅로직스,695.0,,,
티씨머티리얼즈,1829.0,,,
BGF에코머티리얼즈,1826.5,,,
화신정공,1365.4,,,
코칩,1288.3,,,
제이엔케이글로벌,618.4,,,
제이에스링크,13605.7,,,
아시아경제,454.6,,,
화인써키트,358.2,7.2,,
에코캡,320.0,,,
피제이메탈,689.5,,,
앱코,431.3,,,
GH신소재,269.1,,,
티피씨글로벌,218.8,,,
옵투스제약,1023.5,,,
시큐브,296.0,,,
티엔엔터테인먼트,145.1,,,
딜리,210.7,,,
대한과학,242.3,,,
알서포트,821.4,,,
이브이첨단소재,427.9,,,
파인텍,154.1,,,
메가엠디,319.7,,,
이퓨쳐,249.4,,,
탑코미디어,660.0,,,
원일티엔아이,601.8,8.5,,
아셈스,546.0,,,
하림,2888.9,,,
윈스테크넷,1311.5,,,
나래나노텍,588.0,,,
넥스트아이,198.2,,,
제이씨케미칼,691.4,,,
신진에스엠,266.9,,,
앤로보틱스,1703.2,,,
나이벡,1757.5,,,
키네마스터,226.5,,,
서플러스글로벌,653.2,,,
메지온,16680.3,,,
카티스,193.7,,,
대창스틸,409.5,,,
알에스오토메이션,1290.4,,,
비아트론,1054.0,5.5,,
리가켐바이오,41906.0,-98.5,-94.8,
유니트론텍,1135.1,66.6,,
녹십자엠에스,661.4,,,
모아라이프플러스,147.2,,,
아이디스,1637.5,,,
사람인,1829.9,,,
영우디에스피,460.3,10.0,,
지씨셀,2311.6,-12.9,,
노브랜드,488.7,,,
피엠티,609.0,,,
제룡산업,1338.0,,,
알엔투테크놀로지,255.3,,,
비큐AI,279.9,,,
에이치와이티씨,348.5,,,
하이로닉,918.4,,,
파수AI,434.2,,,
KG에코솔루션,2775.3,,,
네이블,424.5,,,
우리이앤엘하루틴,208.5,,,
옵티팜,699.0,,,
아시아종묘,199.3,,,
다산솔루에타,216.8,,,
와이엠씨,580.6,,,
엘앤케이바이오,794.6,,,
아스플로,2562.9,,,
제로투세븐,432.7,,,
에코글로우,334.9,,,
하이젠알앤엠,5087.3,0.6,,
NEW,297.2,5.5,,
싸이맥스,3315.5,,,
신스틸,768.0,,,
에어레인,438.7,,,
코아스템켐온,1105.0,,,
내츄럴엔도텍,592.2,,,
엠브레인,232.6,,,
현대공업,744.0,,,
램테크놀러지,404.7,,,
라이온켐텍,734.2,,,
에이엘티,903.2,3.7,,
오파스넷,772.4,,,
에프엔씨엔터,371.0,2.7,,
앱클론,5586.6,,,
아고스,643.6,,,
아이큐어,815.0,,,
베셀,137.8,,,
파버나인,271.3,,,
일월지엠엘,404.5,,,
엠아이텍,1644.2,,,
애드바이오텍,566.0,,,
DXVX,2697.0,,,
엔케이젠바이오텍코리아,2655.0,,,
엔지켐생명과학,837.9,,,
SGA솔루션즈,363.6,,,
아이진,724.1,,,
그린플러스,350.5,,,
디티앤씨,246.6,,,
신화콘텍,284.5,,,
HLB제넥스,544.2,,,
페니트리움바이오,2146.5,,,
디바이스,1656.5,,,
바이오포트,233.5,7.0,,
세니젠,275.2,,,
씨이랩,1097.7,,,
포시에스,417.8,,,
서전기전,405.4,,,
흥국에프엔비,449.9,,,
코리아에셋투자증권,428.6,,,
육일씨엔에쓰,170.6,,,
테고사이언스,539.2,,,
케이사인,530.0,,,
윈하이텍,199.6,,,
오늘이엔엠,1050.3,,,
슈피겐코리아,1799.6,,,
링크드,213.8,,,
데브시스터즈,2589.6,-39.1,8.4,
마니커에프앤지,273.2,,,
루트K,209.3,,,
HLB펩,406.5,,,
코아시아씨엠,434.6,7.1,,
디에이테크놀로지,691.3,,,
웹스,201.0,,,
디지캡,272.0,,,
캐프,512.5,,,
강동씨앤엘,731.8,,,
한주라이트메탈,268.6,,,
케이엔알시스템,1567.6,,,
뱅크웨어글로벌,267.7,,,
레이저옵텍,359.3,,,
바이오인프라,82.7,,,
툴젠,3392.1,,,
제일일렉트릭,1633.2,27.7,,
텔콘RF제약,211.9,,,
아티스트스튜디오,243.9,,,
에이팩트,2118.1,,,
비씨월드제약,332.2,,,
에이비온,583.0,,,
유니온바이오메트릭스,339.3,,,
드림시큐리티,1999.5,,,
그리티,351.1,,,
지엘팜텍,631.2,,,
휴마시스,566.3,,,
넥써쓰,1278.6,,,
베노티앤알,317.3,,,
덱스터,275.7,,,
바디텍메드,2407.7,,,
미스터블루,319.0,,,
정다운,733.8,22.2,,
지란지교시큐리티,215.1,,,
셀바스헬스케어,697.6,,,
썸에이지,140.9,,,
포톤,357.8,,,
다산디엠씨,339.5,,,
와이제이링크,952.8,,,
캔버스엔,225.4,,,
인카금융서비스,5187.5,126.7,,
AP위성,1208.1,8.0,,
네오오토,1368.9,,,
아이에스티이,720.9,6.2,,
라파스,803.9,,,
FSN,640.8,,,
케어젠,35451.9,,,
롤링스톤,192.0,,,
디알텍,659.5,14.0,,
솔디펜스,317.2,,,
로보로보,853.6,,,
우리산업,611.9,,,
콜마바이오텍,393.0,,,
토박스코리아,224.5,,,
신라젠,3117.5,,,
이노인스트루먼트,355.7,,,
인크로스,623.3,,,
넵튠,1163.7,,,
싸이토젠,793.3,,,
에스디생명공학,547.6,,,
러셀,520.1,,,
강스템바이오텍,2247.9,,,
원익피앤이,968.1,,,
미래생명자원,406.7,,,
링크제니시스,399.7,,,
디와이디,533.7,,,
한국비티비,222.8,,,
퓨쳐켐,1966.9,,,
폴라리스AI핸디,363.7,,,
켐트로스,1161.0,,,
지구홀딩스,633.2,,,
하이즈항공,360.0,,,
케이디켐,379.7,,,
SFA넥셀,5888.0,,,
팬젠,674.4,,,
쎄노텍,457.1,,,
한국맥널티,227.2,,,
사토시홀딩스,185.5,,,
더코디,173.4,,,
에이텍모빌리티,461.3,,,
LK삼양,440.4,,,
제놀루션,255.2,,,
케이엠제약,115.9,,,
HC보광산업,701.3,,,
패션플랫폼,158.8,,,
신테카바이오,371.4,-2.1,,
본느,520.2,,,
엠디바이스,1221.7,,,
올릭스,25528.2,-31.0,-30.0,
아우딘퓨쳐스,227.1,,,
엔투텍,422.7,,,
동양파일,486.0,,,
지노믹트리,3157.1,,,
젠큐릭스,386.6,,,
에치에프알,2024.3,-0.7,49.5,
라온로보틱스,1218.4,,,
아이티센피엔에스,270.3,,,
싸이닉솔루션,730.6,,,
폴라리스세원,399.4,,,
에스트래픽,833.9,,,
자이글,718.5,,,
메드팩토,949.4,,,
엔비티,241.6,,,
피앤씨테크,247.8,,,
플레이디,323.2,,,
앤디포스,631.2,,,
얼라인드,445.7,,,
비피도,212.3,,,
힘스,269.8,,,
이스트에이드,250.4,,,
에이치엘사이언스,292.8,,,
유진테크놀로지,123.5,,,
DSC인베스트먼트,2109.4,,,
유니테크노,622.8,,,
메카로,3669.4,,,
티이엠씨씨엔에스,491.1,,,
피씨엘,168.0,,,
에이스토리,221.8,5.5,,
나무에이엑스,1256.2,,,
올리패스,134.2,,,
EDGC,1671.2,,,
에스엘에스바이오,302.2,,,
TS인베스트먼트,401.9,,,
티앤알바이오팹,1182.1,,,
아스타,994.3,,,
SCL사이언스,577.6,0.6,,
나노씨엠에스,102.1,,,
보라티알,378.0,,,
모비스,902.4,,,
예선테크,110.9,,,
와이엠티,1435.7,,,
브이원텍,605.8,,,
세화피앤씨,207.0,,,
네오셈,3904.4,,,
수젠텍,750.1,,,
자비스,285.1,,,
SG,1552.5,,,
야스,1044.6,45.1,,
한독크린텍,386.2,,,
포인트엔지니어링,502.3,,,
한국비엔씨,1778.3,,,
킵스파마,1232.8,,,
피엔티엠에스,246.0,,,
케일럼,386.7,,,
소프트캠프,239.2,,,
세종메디칼,312.2,,,
엠플러스,1189.2,25.2,,
알리코제약,383.2,,,
씨티케이,494.2,,,
덴티스,459.3,,,
이지스,435.3,,,
아리바이오랩,651.3,,,
에이프로,449.3,,,
아이퀘스트,309.1,,,
디케이앤디,421.3,,,
유틸렉스,353.2,,,
덕우전자,574.3,,,
디알젬,574.2,,,
케어랩스,350.8,,,
유에스티,375.6,,,
데이타솔루션,808.8,,,
상신전자,413.2,,,
휴엠앤씨,348.7,,,
유비쿼스,1506.1,,,
이랜시스,1984.3,,,
영화테크,778.2,,,
나인테크,1159.8,,,
배럴,236.4,,,
시스웍,1320.9,,,
앱튼,721.5,,,
에브리봇,1902.3,,,
뉴트리,412.0,,,
팸텍,293.7,,,
케이엔제이,2259.1,32.0,,
와이즈버즈,510.1,,,
와이엠텍,537.3,,,
켄코아에어로스페이스,1411.9,-7.3,,
이노시뮬레이션,207.2,,,
에스에스알,187.3,,,
스코넥,70.7,,,
한울앤제주,272.0,,,
린드먼아시아,412.1,,,
인산가,215.9,,,
티에스아이,620.1,,,
천보,4337.6,-13.6,16.9,
HLB바이오스텝,362.6,,,
미디어젠,196.1,,,
레이크머티리얼즈,8301.8,24.0,,
카이노스메드,359.7,,,
노바텍,1223.6,14.2,,
진영,136.0,,,
나노실리칸첨단소재,456.4,,,
인투셀,2704.0,,,
케이피항공산업,548.6,,,
파라택시스코리아,441.3,,,
에스프리즘,284.4,-6.0,-6.0,
모아데이타,249.2,,,
아이스크림에듀,118.3,,,
SV인베스트먼트,1170.3,,,
자이언트스텝,261.1,,,
웨이비스,917.8,,,
트윔,312.9,,,
DH오토리드,374.3,,,
휴네시온,258.9,,,
신도기연,264.4,,,
파라택시스이더리움,191.4,,,
다이나믹솔루션,608.3,,,
대보마그네틱,407.0,,,
아리바이오홀딩스,2161.8,,,
푸드나무,1056.7,,,
액트로,779.0,,,
엔피,259.3,,,
압타머사이언스,579.9,,,
핀텔,142.7,,,
카카오게임즈,8891.9,-89.4,50.2,
나우IB,1379.3,,,
압타바이오,1564.8,,,
이오플로우,623.0,,,
레몬,518.2,,,
서남,764.5,,,
아틀라스링크,270.7,,,
HB솔루션,1254.4,,,
풍전약품,246.7,,,
에이비엘바이오,48485.1,-75.0,-51.0,
더네이쳐홀딩스,976.4,,,
슈어소프트테크,2127.6,,,
더블유에스아이,545.9,,,
셀리드,495.7,,,
위지윅스튜디오,398.5,,,
플리토,1327.0,,,
라온피플,243.1,,,
바이브컴퍼니,268.4,,,
리메드,911.8,,,
지니틱스,174.3,,,
프로티아,656.9,6.0,,
이노뎁,200.7,,,
솔트룩스,2135.9,,,
에스바이오메딕스,2390.3,-8.4,-8.5,
피플바이오,136.4,,,
에스제이그룹,163.1,,,
아이엘,1570.8,7.0,,
원바이오젠,388.8,,,
국전,1158.0,,,
비투엔,708.1,,,
컴퍼니케이,969.4,,,
바이젠셀,1107.0,,,
형지글로벌,105.1,,,
셀비온,1725.4,,,
아이티켐,2684.4,,,
조이웍스앤코,178.5,,,
LB인베스트먼트,1043.6,,,
보로노이,27240.4,-44.0,-37.0,
디와이씨,297.1,,,
