code,name,sector,latest_mktcap,latest_period,latest_is_estimate,latest_yoy,prev_yoy,accel,n_quarters
A006280,녹십자,제약,1440950135400,202712,True,-20.1,19.9,-40.0,16
A006360,GS건설,건설,3205026800500,202712,True,-18.8,15.6,-34.4,16
A006400,삼성SDI,전기제품,42629745370000,202712,True,130.2,266.4,-136.2,16
A006650,대한유화,화학,629200000000,202612,True,-16.2,-15.6,-0.6,12
A006730,서부T&D,"호텔,레스토랑,레저",687763076100,202612,True,13.3,24.3,-11.0,12
A006800,미래에셋증권,증권,17838241525350,202712,True,-27.5,94.1,-121.6,16
A007070,GS리테일,백화점과일반상점,1943872398750,202712,True,18.0,5.5,12.5,16
A007310,오뚜기,식품,1252446875000,202612,True,60.0,16.0,44.0,12
A007340,DN오토모티브,자동차부품,2902138904000,202612,True,27.9,48.3,-20.4,12
A007660,이수페타시스,반도체와반도체장비,8287900825100,202712,True,15.0,25.3,-10.3,16
A007690,국도화학,화학,347281200000,202612,True,118.7,152.7,-34.0,12
A007810,코리아써키트,전자장비와기기,1573259872000,202612,True,-5.2,29.3,-34.5,12
A008730,율촌화학,포장재,361336000000,202606,False,746.1,-94.5,840.6,12
A008770,호텔신라,백화점과일반상점,1589548900500,202712,True,59.8,35.4,24.4,16
A009150,삼성전기,전자장비와기기,110994832256000,202712,True,65.9,75.2,-9.3,16
A009180,한솔로지스틱스,항공화물운송과물류,77569297875,202612,True,142.0,47.2,94.8,12
A009240,한샘,가구,933120245200,202612,True,176.4,36.4,140.0,12
A009420,한올바이오파마,제약,2400457316100,202712,True,100.0,18.8,81.2,16
A009450,경동나비엔,가정용기기와용품,890140971200,202612,True,36.8,634.4,-597.6,12
A009540,HD한국조선해양,조선,24027472882000,202712,True,23.5,23.5,0.0,16
A009580,무림P&P,종이와목재,113198508060,202606,False,271.6,-34.8,306.4,12
A009830,한화솔루션,에너지장비및서비스,6173300113200,202712,True,76.6,109.0,-32.4,16
A009900,명신산업,자동차부품,434452701240,202612,True,224.2,-14.7,238.9,12
A010060,OCI홀딩스,화학,3510003616000,202712,True,49.6,19.5,30.1,16
A010120,LS ELECTRIC,전기장비,31800000000000,202712,True,35.5,40.8,-5.3,16
A010130,고려아연,비철금속,23168995590000,202612,True,8.4,69.3,-60.9,12
A010140,삼성중공업,조선,18128000000000,202712,True,51.6,57.4,-5.8,16
A010170,대한광통신,통신장비,2769199604600,202603,False,-42.8,-63.5,20.7,12
A010280,아이티센엔텍,IT서비스,66165765560,202612,True,16.8,-16.0,32.8,12
A010690,화신,자동차부품,262252279100,202612,True,-44.0,25.3,-69.3,12
A010780,아이에스동서,건설,456868147160,202712,True,257.2,95.7,161.5,16
A010950,S-Oil,석유와가스,17371524805600,202712,True,-25.4,-13.4,-12.0,16
A011070,LG이노텍,전자장비와기기,12827571994000,202712,True,0.7,11.3,-10.6,16
A011170,롯데케미칼,화학,2673463687500,202712,True,-68.2,,,16
A011200,HMM,해운사,19996644964000,202712,True,-55.7,-60.0,4.3,16
A011210,현대위아,자동차부품,1452217432200,202703,True,22.0,29.4,-7.4,13
A011560,세보엠이씨,건설,242541171600,202712,True,24.4,2.1,22.3,16
A011760,현대코퍼레이션,무역회사와판매업체,343291667700,202612,True,45.0,37.5,7.5,12
A011780,금호석유화학,화학,2948438490000,202712,True,-71.3,-1.6,-69.7,16
A011790,SKC,화학,4384489543200,202706,True,-88.2,-69.0,-19.2,16
A011930,신성이엔지,반도체와반도체장비,336270373920,202612,True,288.2,2819.7,-2531.5,12
A012210,삼미금속,기계,312118379660,202612,True,37.2,116.1,-78.9,11
A012330,현대모비스,자동차부품,33458167912500,202712,True,20.0,1.2,18.8,16
A012450,한화에어로스페이스,우주항공과국방,54502514857000,202712,True,25.6,21.5,4.1,16
A012630,HDC,건설,1544323487850,202712,True,16.4,6.5,9.9,16
A0126Z0,삼성에피스홀딩스,제약,8248730743500,202712,True,163.2,28.5,134.7,9
A012750,에스원,상업서비스와공급품,3169131445200,202612,True,3.2,0.9,2.3,12
A013030,하이록코리아,기계,444835843200,202712,True,14.0,5.9,8.1,16
A013890,지누스,가구,164662855630,202609,True,83.4,,,12
A014620,성광벤드,기계,845852043400,202712,True,8.0,39.4,-31.4,16
A014680,한솔케미칼,화학,2428658100000,202712,True,33.5,23.0,10.5,16
A014790,HL D&I,건설,92753572450,202612,True,91.8,33.2,58.6,12
A014830,유니드,화학,406732760000,202612,True,200.8,14.6,186.2,12
A014940,오리엔탈정공,조선,206904420940,202612,True,202.8,48.3,154.5,12
A015760,한국전력,전기유틸리티,19804591775450,202712,True,442.1,126.2,315.9,16
A016360,삼성증권,증권,8099510000000,202712,True,3.5,9.0,-5.5,16
A016380,KG스틸,철강,561049912170,202609,True,-32.7,16.9,-49.6,12
A016580,환인제약,제약,187302704900,202612,True,68.6,35.0,33.6,12
A017370,우신시스템,자동차부품,61993072790,202612,True,100.6,96.9,3.7,12
A017670,SK텔레콤,무선통신서비스,18751171626900,202703,True,15.3,171.4,-156.1,13
A017800,현대엘리베이터,기계,2896745728500,202612,True,26.4,19.4,7.0,12
A017810,풀무원,식품,335841975020,202612,True,17.9,-3.9,21.8,12
A017940,E1,가스유틸리티,641410000000,202612,True,198.0,39.5,158.5,12
A017960,한국카본,조선,1061951787300,202712,True,12.3,13.4,-1.1,16
A018250,애경산업,화장품,292622079800,202609,True,-13.7,-59.4,45.7,12
A018260,삼성에스디에스,IT서비스,17487382800000,202712,True,9.6,10.1,-0.5,16
A018290,브이티,화장품,395192187780,202612,True,50.1,40.2,9.9,12
A018670,SK가스,가스유틸리티,2219983938000,202612,True,262.5,-24.1,286.6,12
A018880,한온시스템,자동차부품,3407154455440,202712,True,30.9,35.0,-4.1,16
A019210,와이지-원,기계,469384847360,202612,True,179.5,121.6,57.9,12
A019680,대교,교육서비스,65862812450,202512,False,15.6,,,12
A020000,한섬,"섬유,의류,신발,호화품",427821720480,202612,True,45.1,302.7,-257.6,12
A020150,롯데에너지머티리얼즈,전자장비와기기,2099855066300,202703,True,23.1,-60.9,84.0,16
A020560,아시아나항공,항공사,1724142251070,202612,True,-83.2,-78.2,-5.0,12
A021240,코웨이,가정용기기와용품,7062589114800,202612,True,31.7,9.0,22.7,12
A022100,포스코DX,IT서비스,3086304998700,202712,True,51.3,65.8,-14.5,16
A023160,태광,기계,701002258200,202712,True,5.7,136.9,-131.2,16
A023530,롯데쇼핑,백화점과일반상점,3131565178500,202712,True,14.3,17.1,-2.8,16
A023910,대한약품,제약,157200000000,202612,True,51.3,6.2,45.1,12
A024110,기업은행,은행,15948517380000,202712,True,10.3,5.6,4.7,16
A025320,시노펙스,핸드셋,347672238810,202609,True,225.5,,,12
A025540,한국단자,자동차부품,570486000000,202612,True,4.4,-21.3,25.7,12
A025900,동화기업,건축자재,341261673750,202612,True,-75.4,,,12
A027410,BGF,화학,360373718115,202612,True,9.9,-10.7,20.6,12
A028050,삼성E&A,건설,10035200000000,202712,True,4.1,3.3,0.8,16
A028260,삼성물산,복합기업,59515502227000,202712,True,18.1,33.2,-15.1,16
A028670,팬오션,해운사,3095157474480,202712,True,-4.5,-13.3,8.8,16
A029780,삼성카드,카드,4964553479350,202712,True,34.5,29.7,4.8,16
A030000,제일기획,광고,2028176796750,202612,True,5.8,1.5,4.3,12
A030190,NICE평가정보,상업서비스와공급품,899669361040,202612,True,7.1,3.0,4.1,12
A030200,KT,다각화된통신서비스,13382351473500,202703,True,14.8,85.4,-70.6,13
A030520,한컴,소프트웨어,398965776000,202609,True,18.7,-12.6,31.3,12
A031210,서울보증보험,손해보험,2883631997400,202612,True,-41.6,36.8,-78.4,12
A031430,신세계인터내셔날,"섬유,의류,신발,호화품",367702860000,202609,True,137.5,,,12
A031980,피에스케이홀딩스,반도체와반도체장비,3411170889000,202712,True,26.3,52.0,-25.7,16
A032350,롯데관광개발,"호텔,레스토랑,레저",914451003260,202703,True,84.1,14.5,69.6,13
A032500,케이엠더블유,통신장비,823160086510,202703,True,-82.6,-21.6,-61.0,16
A032640,LG유플러스,무선통신서비스,6183912055240,202703,True,16.1,32.0,-15.9,13
A032830,삼성생명,생명보험,58200000000000,202612,True,276.6,5.4,271.2,12
A033160,엠케이전자,반도체와반도체장비,385164429440,202612,True,35.0,,,12
A033240,자화전자,통신장비,579027453600,202612,True,-12.8,11.7,-24.5,12
A033270,유나이티드제약,제약,280825178750,202612,True,-2.7,-1.7,-1.0,12
A033500,동성화인텍,화학,486429592680,202612,True,60.9,10.6,50.3,12
