code,name,sector,latest_date,latest_mult,hist_min_mult,hist_min_date,hist_max_mult,hist_max_date,percentile,n_obs,latest_mktcap
A048550,SM C&C,광고,2026-09-11,-114.18,12.37,2017-10-19,6004.53,2019-07-02,0.0,1689,102517497200
A182400,엔케이젠바이오텍코리아,생명과학도구및서비스,2026-09-11,-114.16,29.64,2017-08-30,1081.12,2016-01-19,0.0,424,265496721770
A025440,DH오토웨어,자동차부품,2026-09-11,-111.88,7.75,2015-01-16,97.67,2018-01-10,0.0,1470,32488292520
A171010,램테크놀러지,반도체와반도체장비,2026-09-11,-108.55,7.67,2020-03-19,321.0,2015-12-28,0.0,1421,38463642880
A411080,샌즈랩,소프트웨어,2026-09-11,-105.82,27.96,2023-07-03,773.11,2024-09-02,0.0,330,84124685380
A439580,블루엠텍,건강관리업체및서비스,2026-09-11,-104.76,18.23,2024-01-31,150.2,2024-02-22,0.0,72,73447006990
A484810,티엑스알로보틱스,기계,2026-09-11,-103.76,51.94,2025-03-21,162.39,2025-09-15,0.0,133,201016404150
A389650,넥스트바이오메디컬,건강관리장비와용품,2026-09-11,-101.74,18.25,2024-11-01,1763.22,2025-04-18,0.0,272,244179937000
A068290,삼성출판사,출판,2026-09-11,-99.42,4.47,2017-09-26,5216.71,2020-12-10,0.0,1723,62300000000
A389500,에스비비테크,기계,2026-09-11,-97.77,196.05,2023-01-26,673.84,2023-03-23,0.0,63,268871095200
A453450,그리드위즈,전기유틸리티,2026-09-11,-93.3,13.3,2024-08-05,218.44,2026-03-30,0.0,265,103096895000
A041590,플래스크,건설,2026-09-11,-87.58,7.59,2015-01-26,969.96,2017-12-06,0.0,525,116064014460
A173940,에프엔씨엔터,방송과엔터테인먼트,2026-09-11,-86.94,8.8,2015-03-19,89.44,2018-04-13,0.0,1007,33094537200
A138610,나이벡,건강관리장비와용품,2026-09-11,-86.04,28.06,2026-06-26,660.04,2022-06-10,0.0,533,163923575060
A246960,SCL사이언스,건강관리업체및서비스,2026-08-27,-84.98,78.97,2025-04-07,130.4,2026-04-16,0.0,123,78239208100
A083310,엘오티베큠,반도체와반도체장비,2026-09-11,-84.09,3.31,2018-07-25,82.61,2019-07-01,0.0,2335,174182122740
A056360,코위버,통신장비,2026-09-11,-83.95,4.93,2020-03-19,269.35,2023-03-09,0.0,1908,52902720000
A474170,루미르,우주항공과국방,2026-09-11,-83.28,9.25,2026-08-03,265.95,2026-05-18,0.0,310,116527731840
A127120,제이에스링크,생명과학도구및서비스,2026-09-11,-81.0,11.71,2015-01-06,197.9,2017-12-28,0.0,359,1165680632150
A454910,두산로보틱스,기계,2026-09-11,-79.63,68.57,2024-10-16,831.19,2026-06-02,0.0,56,4634628570000
A187660,페니트리움바이오,제약,2026-09-11,-79.14,32.59,2021-08-09,272.12,2022-07-11,0.0,391,530280237370
A048770,TPC로보틱스,기계,2026-09-11,-76.32,7.83,2018-06-28,2721.03,2023-04-03,0.0,1786,65617602380
A154040,다산솔루에타,전자제품,2026-09-11,-76.27,2.59,2020-10-26,234.52,2018-07-17,0.0,2675,22804472770
A024830,세원물산,자동차부품,2026-09-11,-76.25,2.85,2021-07-01,202.15,2015-10-26,0.0,2452,70641000000
A494120,큐리오시스,생명과학도구및서비스,2026-09-11,-74.77,302.9,2026-01-21,376.72,2026-01-23,0.0,3,127113834120
A025890,한국주강,철강,2026-09-11,-74.74,10.56,2024-06-27,1617.01,2021-09-30,0.0,1288,29421786240
A376900,로킷헬스케어,건강관리장비와용품,2026-09-11,-73.64,97.41,2026-01-02,4531.69,2026-03-20,0.0,59,544910777000
A289080,SV인베스트먼트,창업투자,2026-09-11,-73.58,6.79,2022-10-13,850.79,2020-10-23,0.0,1285,156660096965
A317770,엑스페릭스,전자장비와기기,2026-09-11,-73.32,6.68,2019-12-02,1209.43,2023-07-25,0.0,783,97839864480
A302440,SK바이오사이언스,제약,2026-09-11,-72.97,10.45,2021-10-25,1020.77,2023-10-12,0.0,541,2922506599250
A094940,푸른로보틱스,컴퓨터와주변기기,2026-09-11,-72.81,15.94,2024-12-09,11748.78,2019-11-18,0.0,1898,51840593200
A011700,한신기계,기계,2026-09-11,-71.73,5.26,2014-12-30,336.71,2024-07-09,0.0,2151,85820069395
A474650,링크솔루션,기계,2026-09-11,-68.5,30.85,2025-11-14,153.25,2026-02-19,0.0,131,147284019200
A361390,제노코,우주항공과국방,2026-09-11,-67.14,12.62,2021-12-17,188.13,2023-08-23,0.0,1275,117128663430
A066670,디티씨,핸드셋,2026-09-11,-66.6,3.24,2015-08-24,89.86,2021-09-07,0.0,2642,59440299240
A377460,큐에이드,상업서비스와공급품,2026-09-11,-66.48,1.34,2023-09-26,19.95,2025-08-12,0.0,500,253187202960
A058970,엠로,소프트웨어,2026-09-11,-65.52,9.25,2022-02-08,561.95,2026-02-20,0.0,1161,198175587820
A160190,하이젠알앤엠,기계,2026-09-11,-64.4,33.01,2024-07-18,4731.01,2025-06-24,0.0,287,644014800000
A388720,유일로보틱스,기계,2026-09-11,-64.13,28.33,2022-07-01,2061.49,2025-02-21,0.0,317,809378401500
A391710,코닉오토메이션,IT서비스,2026-09-11,-62.59,10.19,2022-12-20,1786.91,2025-02-18,0.0,609,45902246190
A065660,안트로젠,제약,2026-09-11,-62.26,125.86,2016-11-24,3443.42,2018-10-22,0.0,399,153193391000
A090370,메타랩스,상업서비스와공급품,2026-09-11,-61.36,2.04,2016-07-06,259.57,2021-03-17,0.0,681,33284415891
A008700,아남전자,전자제품,2026-09-11,-61.34,5.07,2022-10-13,133.63,2017-10-24,0.0,1959,96020400900
A056080,유진로봇,기계,2026-09-11,-61.06,15.68,2015-07-30,4412.64,2022-08-02,0.0,801,467619993780
A393210,토마토시스템,IT서비스,2026-09-11,-60.98,2.63,2023-07-19,140.95,2024-06-07,0.0,416,33571269600
A245620,EDGC,생명과학도구및서비스,2026-09-11,-59.86,81.94,2019-07-17,1378.19,2019-05-14,0.0,62,167118555474
A003120,일성아이에스,제약,2026-09-11,-59.55,68.13,2015-09-08,1746.69,2019-04-04,0.0,1165,292600000000
A063170,서울옥션,판매업체,2026-09-11,-59.08,6.37,2020-08-03,848.06,2024-04-01,0.0,1971,104157204620
A036000,예림당,출판,2026-09-11,-58.84,0.45,2021-12-22,586.28,2025-07-02,0.0,1910,66799403300
A0007C0,아크릴,IT서비스,2026-09-11,-58.01,54.29,2026-06-08,106.4,2026-06-15,0.0,80,138523089000
A057680,티사이언티픽,IT서비스,2026-09-11,-57.82,19.42,2020-03-19,515.27,2019-11-04,0.0,1110,27132217662
A148780,비큐AI,소프트웨어,2026-09-11,-57.13,51.09,2024-04-23,2169.92,2023-12-08,0.0,243,23930196725
A220180,폴라리스AI핸디,소프트웨어,2026-09-11,-57.06,7.47,2016-11-07,1311.03,2020-07-30,0.0,1026,35896263000
A025320,시노펙스,핸드셋,2026-09-11,-56.74,5.09,2020-03-19,441.77,2026-04-21,0.0,2094,355049899050
A026040,제이에스티나,"섬유,의류,신발,호화품",2026-09-11,-55.84,9.35,2015-08-21,244.76,2018-04-19,0.0,1411,37793679100
A234920,자이글,건강관리장비와용품,2026-09-11,-55.55,4.11,2017-02-06,84.26,2018-07-17,0.0,689,71849132100
A226950,올릭스,생명과학도구및서비스,2026-09-11,-55.4,182.64,2025-10-21,320.21,2026-01-07,0.0,62,2302169505000
A052220,iMBC,방송과엔터테인먼트,2026-09-11,-55.15,11.91,2016-11-02,2539.84,2018-07-02,0.0,2517,40618000000
A051630,진양화학,화학,2026-09-11,-53.83,7.03,2014-12-30,1241.23,2021-04-05,0.0,740,28874400000
A450330,하스,건강관리장비와용품,2026-09-11,-53.11,41.23,2024-12-09,102.04,2025-07-17,0.0,423,42407846740
A399720,가온칩스,반도체와반도체장비,2026-09-11,-53.11,22.82,2024-12-09,330.89,2025-10-15,0.0,862,485619661800
A275630,에스에스알,소프트웨어,2026-09-11,-52.93,10.77,2022-11-08,92.21,2019-02-21,0.0,1513,22959140960
A203450,유니온바이오메트릭스,전자장비와기기,2026-09-11,-52.86,5.25,2017-01-02,1018.78,2022-05-16,0.0,2142,36535023165
A048430,유라테크,자동차부품,2026-09-11,-51.58,7.4,2024-12-02,1724.14,2022-04-05,0.0,2267,71884800000
A359090,씨엔알리서치,제약,2026-09-11,-51.27,8.21,2024-11-13,117.47,2025-11-25,0.0,1097,23562993150
A086820,바이오솔루션,생물공학,2026-09-11,-50.61,45.34,2018-08-30,1310.81,2020-06-25,0.0,338,170321238450
A037370,EG,비철금속,2026-09-11,-49.62,11.8,2022-06-23,142.32,2017-09-22,0.0,922,32559269300
A140430,카티스,통신장비,2026-09-11,-49.55,15.56,2025-04-07,292.53,2024-07-19,0.0,342,24746208705
A122990,와이솔,핸드셋,2026-09-11,-49.24,4.13,2016-09-13,69.66,2023-02-28,0.0,2568,169020840610
A192410,오늘이엔엠,통신장비,2026-09-11,-49.2,1.07,2018-09-28,190.44,2015-12-04,0.0,793,119003420025
A271940,일진하이솔루스,자동차부품,2026-09-11,-49.16,49.87,2021-10-06,515.65,2024-11-04,0.0,700,397992562400
A000440,중앙에너비스,석유와가스,2026-09-11,-49.11,9.43,2015-08-24,6907.06,2022-03-24,0.0,1845,82198116000
A309710,아이티켐,제약,2026-09-11,-48.54,107.35,2025-09-09,1013.17,2025-12-03,0.0,97,268443021000
A074610,이엔플러스,기계,2026-09-11,-47.97,6.41,2017-08-17,118.88,2014-12-30,0.0,738,44815400070
A328380,솔트웨어,IT서비스,2026-09-11,-47.91,41.21,2026-03-04,263.87,2023-10-05,0.0,180,26793490050
A121800,비덴트,디스플레이패널,2026-09-11,-47.8,32.9,2015-01-02,1419.12,2022-01-03,0.0,491,256309348520
A121890,에스디시스템,운송인프라,2026-09-11,-46.69,4.25,2022-01-03,377.63,2024-07-30,0.0,1102,35488160820
A053280,예스24,인터넷과카탈로그소매,2026-09-11,-45.28,4.26,2025-04-09,201.45,2020-12-04,0.0,2400,73500000000
A091970,LSK아이로봇,화학,2026-09-11,-45.03,4.17,2020-03-19,537.56,2025-05-23,0.0,985,29498663700
A059270,해성에어로보틱스,기계,2026-09-11,-44.98,67.99,2023-02-15,101.03,2023-03-20,0.0,63,58282860780
A136150,원일티엔아이,에너지장비및서비스,2026-09-11,-44.69,25.14,2025-07-16,174.12,2025-07-31,0.0,100,68724446000
A016800,퍼시스,가구,2026-09-11,-44.54,8.88,2022-09-29,246.93,2025-12-16,0.0,2760,315675000000
A003520,영진약품,제약,2026-09-11,-44.28,32.59,2015-01-07,3989.13,2021-01-06,0.0,1837,192037367550
A218150,미래생명자원,식품,2026-09-11,-44.1,17.53,2020-03-23,5936.85,2024-01-18,0.0,1780,42566947170
A110020,전진바이오팜,가정용품,2026-09-11,-43.69,16.06,2024-11-14,104.84,2024-07-09,0.0,365,18054112666
A039610,화성밸브,기계,2026-09-11,-43.22,5.32,2014-12-30,48.33,2021-03-30,0.0,2701,64128064000
A065500,오리엔트정공,자동차부품,2026-09-11,-43.02,9.7,2014-12-30,544.04,2016-11-25,0.0,1831,38959774080
A298380,에이비엘바이오,생물공학,2026-09-11,-42.97,26.77,2023-06-28,1756.54,2025-02-05,0.0,270,3700771304300
A131100,티엔엔터테인먼트,방송과엔터테인먼트,2026-09-11,-42.79,2.82,2024-12-30,233.45,2019-01-22,0.0,972,15123711680
A028300,HLB,건강관리장비와용품,2026-09-11,-42.7,8.76,2019-07-30,1863.2,2016-02-03,0.0,182,4189084113350
A435570,에르코스,식품,2026-09-11,-42.29,14.12,2025-03-27,415.59,2026-01-02,0.0,264,54080579300
A084730,팅크웨어,전자제품,2026-09-11,-42.28,2.06,2025-05-27,154.62,2015-06-24,0.0,2821,70878125120
A270660,에브리봇,가정용기기와용품,2026-09-11,-42.04,3.6,2021-03-10,488.73,2024-05-21,0.0,963,176906727020
A318010,팜스빌,건강관리업체및서비스,2026-09-11,-41.98,4.89,2020-03-19,3671.88,2024-07-09,0.0,1219,28862790320
A053350,이니텍,소프트웨어,2026-09-11,-41.84,3.84,2016-11-29,854.82,2025-03-28,0.0,1844,94250158200
A044380,주연테크,컴퓨터와주변기기,2026-09-11,-41.72,100.83,2021-02-04,1794.11,2020-11-25,0.0,310,8393374864
A241790,티이엠씨씨엔에스,반도체와반도체장비,2026-09-11,-41.3,3.02,2020-03-19,36.51,2026-05-06,0.0,2347,63816804920
A333620,엔시스,전자장비와기기,2026-09-11,-40.55,3.82,2024-08-05,418.95,2025-07-31,0.0,1106,57519069300
A168330,내츄럴엔도텍,화장품,2026-09-11,-40.5,4.4,2015-05-18,1049.74,2021-09-08,0.0,248,72083623000
A061250,화일약품,제약,2026-09-11,-40.4,10.16,2015-08-24,266.86,2023-12-05,0.0,2517,66498913600
