종목명,연도,분기,매출액,영업이익,영업이익률
필옵틱스,2025,Q4,26440899631.0,-13659161056.0,-0.5165921449959154
필옵틱스,2026,Q1,10973443550.0,-5351388648.0,-0.48766721436317045
제주항공,2023,Q1,424866929147.0,70603873479.0,0.16617879301820576
제주항공,2023,Q2,373916034988.0,24671472773.0,0.06598131790146891
제주항공,2023,Q3,443369247528.0,48204881825.0,0.10872400847322125
제주항공,2023,Q4,481856330576.0,26311889571.0,0.054605258666099436
제주항공,2024,Q1,555890890497.0,78945627763.0,0.14201640845817395
제주항공,2024,Q2,449047319508.0,-5303329402.0,-0.011810179398934188
제주항공,2024,Q3,480474063012.0,46540499687.0,0.09686370871977253
제주항공,2024,Q4,450379699240.0,-40270461154.0,-0.089414467885553
제주항공,2025,Q1,384683880277.0,-32569861773.0,-0.08466656245004954
제주항공,2025,Q2,332393347660.0,-41874267641.0,-0.1259780556253266
제주항공,2025,Q3,388258140426.0,-55027406744.0,-0.14172891953694386
제주항공,2025,Q4,474605504046.0,17811491519.0,0.037529045422266455
제주항공,2026,Q1,516161674119.0,68996178904.0,0.13367164274985105
삼천당제약,2023,Q1,44155069503.0,1847536935.0,0.04184201170546168
삼천당제약,2023,Q2,47579406794.0,3243503766.0,0.06817032797493856
삼천당제약,2023,Q3,48442651202.0,2383956539.0,0.04921193369576717
삼천당제약,2023,Q4,52491388129.0,2084817093.0,0.03971731682683769
삼천당제약,2024,Q1,48457290537.0,1863390555.0,0.03845428694733131
삼천당제약,2024,Q2,54889641602.0,2137821265.0,0.03894762659412418
삼천당제약,2024,Q3,52382736767.0,-814399905.0,-0.015547104929291409
삼천당제약,2024,Q4,55194135616.0,-544840641.0,-0.009871350188190254
삼천당제약,2025,Q1,50617981535.0,687680603.0,0.013585697851750579
삼천당제약,2025,Q2,56900188945.0,-1079593760.0,-0.018973465291012313
삼천당제약,2025,Q3,58024413361.0,3433627849.0,0.05917557197239753
삼천당제약,2025,Q4,66262693897.0,5424798258.0,0.08186806087951103
삼천당제약,2026,Q1,64867622979.0,5448897943.0,0.08400027151856644
인텍플러스,2023,Q1,10706170319.0,-4381063562.0,-0.4092092159439146
인텍플러스,2023,Q2,20137420812.0,-4515864353.0,-0.22425237050759605
인텍플러스,2023,Q3,17284061208.0,-2668681891.0,-0.15440132147673657
인텍플러스,2023,Q4,26674593956.0,473874196.0,0.017765001288554197
인텍플러스,2024,Q1,18898066707.0,-2481245356.0,-0.13129625344591075
인텍플러스,2024,Q2,22900562059.0,-5139171121.0,-0.22441244488932915
인텍플러스,2024,Q3,17575916127.0,-1810152270.0,-0.10299049317942845
인텍플러스,2024,Q4,24498874709.0,-6156776095.0,-0.2513085261315379
인텍플러스,2025,Q1,14407118985.0,-4476331878.0,-0.3107027770549089
인텍플러스,2025,Q2,25149574762.0,1575596707.0,0.06264903967206091
인텍플러스,2025,Q3,9925509220.0,-4916419809.0,-0.4953317457096675
인텍플러스,2025,Q4,40282889603.0,4082526216.0,0.10134640926295319
인텍플러스,2026,Q1,12805345119.0,-1907565585.0,-0.14896635485205623
삼아알미늄,2023,Q1,71192718463.0,1709576127.0,0.024013356476737073
삼아알미늄,2023,Q2,66739654009.0,2077787165.0,0.031132723054270037
삼아알미늄,2023,Q3,67119567359.0,1160483921.0,0.01728980037658708
삼아알미늄,2023,Q4,62971480606.0,-1177256481.0,-0.018695073859956685
삼아알미늄,2024,Q1,63318757663.0,-1632961170.0,-0.025789532679890412
삼아알미늄,2024,Q2,68545430596.0,400309081.0,0.0058400549463228585
삼아알미늄,2024,Q3,55285734957.0,-4321428207.0,-0.0781653388593117
