종목명,상태,공시일,매출액_당기(억원),매출액_YoY(%),매출액_흑자적자전환_YoY,영업이익_당기(억원),영업이익_YoY(%),영업이익_흑자적자전환_YoY
한솔로지스틱스,ok,20260729.0,1828.13,2.7,,61.18,-4.5,
케이피에프,ok,20260806.0,2135.67,11.7,,89.18,-11.3,
종근당바이오,ok,20260731.0,410.86,-0.3,,-50.03,,적자전환
일동홀딩스,ok,20260730.0,1570.84,8.3,,50.3,,흑자전환
제이씨케미칼,ok,20260806.0,1428.06,54.9,,114.54,189.0,
웅진씽크빅,ok,20260810.0,1908.78,-7.3,,38.08,7.0,
모델솔루션,ok,20260806.0,200.43,8.82,,17.86,9.35,
녹십자엠에스,ok,20260731.0,271.13,-10.9,,7.43,-29.8,
프로티아,ok,20260715.0,53.47,39.1,,16.57,58.8,
아리바이오랩,code_not_found,,,,,,,
티플랙스,ok,20260805.0,714.79,33.18,,21.55,36.13,
FSN,ok,20260729.0,767.08,6.38,,119.74,26.04,
휴니드,code_not_found,,,,,,,
인크로스,ok,20260807.0,117.12,13.1,,28.25,26.1,
SGC E&C,ok,20260723.0,2786.71,-17.07,,142.93,-4.36,
보락,ok,20260729.0,124.91,-9.05,,6.83,-23.34,
와이엠씨,ok,20260805.0,534.08,23.5,,27.88,12.3,
블루엠텍,ok,20260727.0,549.67,20.4,,1.82,,흑자전환
코렌텍,ok,20260724.0,257.95,10.1,,14.55,6.3,
평화산업,ok,20260730.0,1721.87,4.05,,82.57,180.66,
SJM,code_not_found,,,,,,,
대동기어,ok,20260810.0,670.34,13.35,,16.46,361.06,
SJM홀딩스,code_not_found,,,,,,,
엘컴텍,ok,20260729.0,206.89,72.0,,18.08,167.5,
SG세계물산,ok,20260807.0,272.84,-5.2,,-4.64,-8.9,
삼화전자,code_not_found,,,,,,,
한컴라이프케어,ok,20260730.0,550.74,103.3,,76.09,167.7,
씨티케이,ok,20260810.0,289.63,28.9,,4.69,103.4,
하츠,ok,20260731.0,467.61,-2.7,,33.66,0.1,
흥국에프엔비,ok,20260807.0,260.92,2.9,,14.28,-49.2,
TBH글로벌,code_not_found,,,,,,,
파수AI,ok,20260731.0,131.28,22.7,,10.06,,흑자전환
서울식품,code_not_found,,,,,,,
포스뱅크,ok,20260810.0,366.11,40.99,,63.2,285.84,
영화금속,ok,20260728.0,921.5,-5.0,,42.12,-37.2,
누보,ok,20260730.0,518.7,46.7,,37.05,11.5,
화인베스틸,ok,20260721.0,482.61,4.2,,16.37,-33.6,
TS트릴리온,ok,20260804.0,71.44,24.1,,5.27,,흑자전환
플레이디,ok,20260727.0,78.72,-19.6,,12.57,-25.9,
SUN&L,ok,20260730.0,277.0,-3.1,,9.0,,흑자전환
제이엠아이,ok,20260803.0,305.78,43.1,,17.82,305.5,
디와이씨,ok,20260804.0,365.44,41.86,,37.28,694.6,
캠시스,ok,20260714.0,2952.73,3.6,,86.74,,흑자전환
모비데이즈,ok,20260713.0,130.88,7.43,,27.55,11.31,
진양폴리,code_not_found,,,,,,,
인디에프,ok,20260724.0,282.97,3.48,,22.83,26.9,
동원수산,ok,20260805.0,500.44,-4.3,,45.0,15.2,
남성,ok,20260805.0,216.17,15.5,,32.9,720.4,
키이스트,ok,20260804.0,107.22,263.3,,-10.39,17.3,
라온피플,ok,20260727.0,35.29,-16.4,,3.01,,흑자전환
엔비티,ok,20260729.0,255.47,18.93,,4.82,,흑자전환
배럴,ok,20260807.0,151.2,-2.6,,14.95,6.8,
바이오포트,ok,20260727.0,218.04,13.4,,15.26,104.2,
엑셀세라퓨틱스,ok,20260806.0,19.43,778.0,,-26.82,-0.7,
토박스코리아,ok,20260805.0,132.2,5.6,,11.68,13.5,
뉴인텍,ok,20260805.0,265.19,23.09,,2.33,,흑자전환
동일스틸럭스,ok,20260721.0,86.19,74.3,,4.79,,흑자전환
넥스트아이,ok,20260731.0,652.46,297.7,,-3.46,,적자전환
엘디티,ok,20260729.0,38.54,22.3,,8.74,142.9,
SH에너지화학,ok,20260810.0,282.76,11.4,,0.94,,흑자전환
에스폴리텍,ok,20260728.0,197.13,14.8,,13.49,,흑자전환
졸스,ok,20260723.0,122.51,-26.0,,25.54,,흑자전환
피플바이오,ok,20260716.0,16.69,128.0,,-6.87,65.2,
유진테크놀로지,ok,20260723.0,99.05,42.4,,,,
나노씨엠에스,ok,20260727.0,27.81,163.08,,8.34,,흑자전환
주연테크,ok,20260716.0,147.85,4.3,,0.97,,흑자전환
앤씨앤,ok,20260728.0,179.53,-26.7,,6.23,,흑자전환
바이오인프라,ok,20260724.0,86.62,42.5,,2.27,,흑자전환
골드앤에스,ok,20260805.0,57.66,173.6,,2.49,,흑자전환
SK스퀘어,no_disclosure,,,,,,,
삼성생명,no_disclosure,,,,,,,
삼성물산,no_disclosure,,,,,,,
SK,no_disclosure,,,,,,,
우리금융지주,no_disclosure,,,,,,,
메리츠금융지주,no_disclosure,,,,,,,
HMM,no_disclosure,,,,,,,
미래에셋증권,no_disclosure,,,,,,,
LG,no_disclosure,,,,,,,
DB손해보험,no_disclosure,,,,,,,
LS,no_disclosure,,,,,,,
삼양식품,no_disclosure,,,,,,,
GS,ok,20260811.0,74131.0,24.93,,17174.0,253.37,
한국타이어앤테크놀로지,ok,20260811.0,56824.94,5.83,,5590.87,58.09,
한진칼,no_disclosure,,,,,,,
이수페타시스,no_disclosure,,,,,,,
NC,ok,20260811.0,7705.01,101.5,,1738.61,1053.0,
CJ,no_disclosure,,,,,,,
영원무역,no_disclosure,,,,,,,
한화생명,no_disclosure,,,,,,,
현대해상,no_disclosure,,,,,,,
서울보증보험,no_disclosure,,,,,,,
CJ제일제당,ok,20260811.0,73621.13,1.7,,2575.75,-27.1,
달바글로벌,no_disclosure,,,,,,,
현대엘리베이터,no_disclosure,,,,,,,
DN오토모티브,no_disclosure,,,,,,,
일진전기,no_disclosure,,,,,,,
영원무역홀딩스,no_disclosure,,,,,,,
동서,no_disclosure,,,,,,,
코리안리,no_disclosure,,,,,,,
에스엘,no_disclosure,,,,,,,
한국콜마,no_disclosure,,,,,,,
신영증권,no_disclosure,,,,,,,
미스토홀딩스,no_disclosure,,,,,,,
농심,no_disclosure,,,,,,,
한국앤컴퍼니,no_disclosure,,,,,,,
한솔케미칼,no_disclosure,,,,,,,
롯데지주,no_disclosure,,,,,,,
미래에셋생명,no_disclosure,,,,,,,
코스맥스,ok,20260811.0,7948.91,27.48,,737.35,21.25,
펄어비스,ok,20260811.0,1926.11,247.8,,676.25,7388.9,
시프트업,ok,20260811.0,557.24,-50.4,,281.18,-58.8,
이수스페셜티케미컬,no_disclosure,,,,,,,
CJ대한통운,ok,20260811.0,33799.79,10.9,,1015.66,-11.9,
SK이터닉스,no_disclosure,,,,,,,
엘앤씨바이오,ok,20260811.0,387.85,88.4,,85.8,,흑자전환
오리온홀딩스,no_disclosure,,,,,,,
동원산업,no_disclosure,,,,,,,
다우기술,no_disclosure,,,,,,,
SK네트웍스,no_disclosure,,,,,,,
HJ중공업,no_disclosure,,,,,,,
아시아나항공,no_disclosure,,,,,,,
NHN,ok,20260811.0,7579.18,25.3,,579.05,164.1,
오뚜기,no_disclosure,,,,,,,
코리아써키트,no_disclosure,,,,,,,
더블유게임즈,ok,20260812.0,2106.29,22.5,,700.72,29.0,
대신증권,ok,20260811.0,25504.14,92.9,,3599.33,165.2,
한국카본,no_disclosure,,,,,,,
교보증권,no_disclosure,,,,,,,
하이트진로,no_disclosure,,,,,,,
한일시멘트,no_disclosure,,,,,,,
STX엔진,no_disclosure,,,,,,,
대원전선,no_disclosure,,,,,,,
후성,no_disclosure,,,,,,,
경동나비엔,ok,20260811.0,3882.0,-1.0,,842.61,64.6,
대웅,no_disclosure,,,,,,,
태광산업,no_disclosure,,,,,,,
쿠쿠홀딩스,no_disclosure,,,,,,,
한화투자증권,no_disclosure,,,,,,,
SK디스커버리,no_disclosure,,,,,,,
NICE평가정보,no_disclosure,,,,,,,
유안타증권,no_disclosure,,,,,,,
SK오션플랜트,no_disclosure,,,,,,,
레이크머티리얼즈,ok,20260811.0,372.06,19.08,,60.8,39.95,
에스디바이오센서,no_disclosure,,,,,,,
SK케미칼,no_disclosure,,,,,,,
솔루엠,no_disclosure,,,,,,,
삼아알미늄,no_disclosure,,,,,,,
영풍,no_disclosure,,,,,,,
한화손해보험,no_disclosure,,,,,,,
파미셀,no_disclosure,,,,,,,
한국쉘석유,no_disclosure,,,,,,,
LF,no_disclosure,,,,,,,
대한해운,no_disclosure,,,,,,,
빙그레,no_disclosure,,,,,,,
대상,no_disclosure,,,,,,,
금양,no_disclosure,,,,,,,
롯데손해보험,no_disclosure,,,,,,,
카프로,no_disclosure,,,,,,,
세진중공업,no_disclosure,,,,,,,
미원에스씨,no_disclosure,,,,,,,
펌텍코리아,ok,20260811.0,1168.44,10.8,,216.51,11.4,
태광,ok,20260811.0,837.46,15.8,,72.12,-5.8,
E1,no_disclosure,,,,,,,
아이에스동서,no_disclosure,,,,,,,
JW중외제약,ok,20260811.0,2202.72,16.1,,337.39,32.7,
부국증권,no_disclosure,,,,,,,
미원상사,no_disclosure,,,,,,,
한일홀딩스,no_disclosure,,,,,,,
자화전자,no_disclosure,,,,,,,
세아홀딩스,no_disclosure,,,,,,,
NHN KCP,ok,20260811.0,3663.69,29.1,,152.9,26.7,
SK증권,no_disclosure,,,,,,,
쿠쿠홈시스,no_disclosure,,,,,,,
녹십자홀딩스,no_disclosure,,,,,,,
태영건설,no_disclosure,,,,,,,
전진건설로봇,no_disclosure,,,,,,,
NICE,no_disclosure,,,,,,,
세아제강지주,no_disclosure,,,,,,,
고려제강,no_disclosure,,,,,,,
삼양사,no_disclosure,,,,,,,
삼양홀딩스,no_disclosure,,,,,,,
대덕,no_disclosure,,,,,,,
광전자,no_disclosure,,,,,,,
신풍제약,no_disclosure,,,,,,,
엠앤씨솔루션,no_disclosure,,,,,,,
애경케미칼,no_disclosure,,,,,,,
삼천리,no_disclosure,,,,,,,
삼영무역,no_disclosure,,,,,,,
조광피혁,no_disclosure,,,,,,,
농심홀딩스,no_disclosure,,,,,,,
신대양제지,no_disclosure,,,,,,,
흥아해운,no_disclosure,,,,,,,
쏘카,ok,20260811.0,1209.93,22.6,,68.11,271.2,
신도리코,no_disclosure,,,,,,,
신세계인터내셔날,ok,20260811.0,2915.76,15.1,,69.65,,흑자전환
아세아,no_disclosure,,,,,,,
프레스티지바이오파마,no_disclosure,,,,,,,
한화갤러리아,no_disclosure,,,,,,,
DB증권,no_disclosure,,,,,,,
INVENI,no_disclosure,,,,,,,
일진하이솔루스,no_disclosure,,,,,,,
케이카,no_disclosure,,,,,,,
이수화학,no_disclosure,,,,,,,
KISCO홀딩스,no_disclosure,,,,,,,
세아제강,no_disclosure,,,,,,,
한전산업,no_disclosure,,,,,,,
KPX홀딩스,no_disclosure,,,,,,,
율촌화학,no_disclosure,,,,,,,
명신산업,no_disclosure,,,,,,,
한세실업,no_disclosure,,,,,,,
금호건설,no_disclosure,,,,,,,
덴티움,ok,20260811.0,893.46,8.6,,146.88,-5.5,
HL홀딩스,no_disclosure,,,,,,,
풀무원,no_disclosure,,,,,,,
한국철강,no_disclosure,,,,,,,
삼립,no_disclosure,,,,,,,
아세아시멘트,no_disclosure,,,,,,,
코오롱,no_disclosure,,,,,,,
삼양바이오팜,no_disclosure,,,,,,,
넥센,no_disclosure,,,,,,,
서연이화,no_disclosure,,,,,,,
KG케미칼,no_disclosure,,,,,,,
광동제약,no_disclosure,,,,,,,
티엠씨,no_disclosure,,,,,,,
넥스틸,no_disclosure,,,,,,,
트리니티항공,no_disclosure,,,,,,,
휴온스,ok,20260811.0,1469.81,-5.8,,29.27,-77.6,
수산인더스트리,no_disclosure,,,,,,,
애경산업,no_disclosure,,,,,,,
아세아제지,no_disclosure,,,,,,,
일진홀딩스,no_disclosure,,,,,,,
SIMPAC,no_disclosure,,,,,,,
스틱인베스트먼트,no_disclosure,,,,,,,
에이블씨엔씨,no_disclosure,,,,,,,
신성이엔지,no_disclosure,,,,,,,
퍼시스,no_disclosure,,,,,,,
드림텍,no_disclosure,,,,,,,
에이플러스에셋,no_disclosure,,,,,,,
우진,no_disclosure,,,,,,,
한양증권,no_disclosure,,,,,,,
퍼스텍,no_disclosure,,,,,,,
동국홀딩스,no_disclosure,,,,,,,
사조대림,no_disclosure,,,,,,,
JW홀딩스,ok,20260811.0,318.4,67.6,,154.44,350.7,
남해화학,no_disclosure,,,,,,,
한국토지신탁,no_disclosure,,,,,,,
한국자산신탁,no_disclosure,,,,,,,
바텍,ok,20260811.0,1213.63,9.7,,244.73,45.0,
대상홀딩스,no_disclosure,,,,,,,
화신,no_disclosure,,,,,,,
KG에코솔루션,ok,20260811.0,21503.09,19.1,,516.55,6.9,
서흥,no_disclosure,,,,,,,
일성아이에스,no_disclosure,,,,,,,
사조산업,no_disclosure,,,,,,,
TCC스틸,no_disclosure,,,,,,,
세방,no_disclosure,,,,,,,
남양유업,no_disclosure,,,,,,,
선진,no_disclosure,,,,,,,
삼진제약,no_disclosure,,,,,,,
경방,no_disclosure,,,,,,,
일신방직,no_disclosure,,,,,,,
동아지질,no_disclosure,,,,,,,
GS글로벌,no_disclosure,,,,,,,
BYC,no_disclosure,,,,,,,
삼영,no_disclosure,,,,,,,
대한제당,no_disclosure,,,,,,,
PKC,no_disclosure,,,,,,,
대원강업,no_disclosure,,,,,,,
KSS해운,no_disclosure,,,,,,,
LS네트웍스,no_disclosure,,,,,,,
미원화학,no_disclosure,,,,,,,
코오롱글로벌,ok,20260811.0,7504.95,2.2,,522.08,173.6,
다올투자증권,no_disclosure,,,,,,,
YG PLUS,no_disclosure,,,,,,,
코스맥스비티아이,no_disclosure,,,,,,,
잇츠한불,no_disclosure,,,,,,,
모토닉,no_disclosure,,,,,,,
무학,no_disclosure,,,,,,,
KPX케미칼,no_disclosure,,,,,,,
SBS,no_disclosure,,,,,,,
노루홀딩스,no_disclosure,,,,,,,
흥국화재,no_disclosure,,,,,,,
천일고속,no_disclosure,,,,,,,
백산,no_disclosure,,,,,,,
더본코리아,no_disclosure,,,,,,,
휴스틸,no_disclosure,,,,,,,
한농화성,no_disclosure,,,,,,,
AJ네트웍스,no_disclosure,,,,,,,
종근당홀딩스,no_disclosure,,,,,,,
화승엔터프라이즈,no_disclosure,,,,,,,
현대약품,no_disclosure,,,,,,,
대한제분,no_disclosure,,,,,,,
성신양회,no_disclosure,,,,,,,
한국화장품제조,no_disclosure,,,,,,,
진양홀딩스,no_disclosure,,,,,,,
한미글로벌,no_disclosure,,,,,,,
디아이씨,no_disclosure,,,,,,,
대성산업,no_disclosure,,,,,,,
하이트진로홀딩스,no_disclosure,,,,,,,
사조씨푸드,no_disclosure,,,,,,,
동성케미컬,no_disclosure,,,,,,,
서연,no_disclosure,,,,,,,
대성에너지,no_disclosure,,,,,,,
이연제약,no_disclosure,,,,,,,
SJG세종,no_disclosure,,,,,,,
대원제약,no_disclosure,,,,,,,
JW생명과학,no_disclosure,,,,,,,
방림,no_disclosure,,,,,,,
경농,no_disclosure,,,,,,,
유화증권,no_disclosure,,,,,,,
한세예스24홀딩스,no_disclosure,,,,,,,
삼익THK,no_disclosure,,,,,,,
DH오토넥스,no_disclosure,,,,,,,
도화엔지니어링,no_disclosure,,,,,,,
알루코,no_disclosure,,,,,,,
유수홀딩스,no_disclosure,,,,,,,
에스엠벡셀,no_disclosure,,,,,,,
SP삼화,no_disclosure,,,,,,,
해태제과식품,no_disclosure,,,,,,,
만호제강,no_disclosure,,,,,,,
SYTS,no_disclosure,,,,,,,
조선내화,no_disclosure,,,,,,,
일양약품,no_disclosure,,,,,,,
웅진,no_disclosure,,,,,,,
대창단조,no_disclosure,,,,,,,
강남제비스코,no_disclosure,,,,,,,
동부건설,no_disclosure,,,,,,,
미래산업,no_disclosure,,,,,,,
하나제약,no_disclosure,,,,,,,
노루페인트,no_disclosure,,,,,,,
대한화섬,no_disclosure,,,,,,,
삼일제약,no_disclosure,,,,,,,
삼화전기,no_disclosure,,,,,,,
제일약품,no_disclosure,,,,,,,
신라교역,no_disclosure,,,,,,,
신세계푸드,no_disclosure,,,,,,,
이구산업,no_disclosure,,,,,,,
동성제약,no_disclosure,,,,,,,
동화약품,no_disclosure,,,,,,,
한진중공업홀딩스,no_disclosure,,,,,,,
태경산업,no_disclosure,,,,,,,
키다리스튜디오,ok,20260811.0,644.27,24.46,,55.16,193.19,
토니모리,no_disclosure,,,,,,,
화승코퍼레이션,no_disclosure,,,,,,,
남선알미늄,no_disclosure,,,,,,,
신흥,no_disclosure,,,,,,,
상상인증권,no_disclosure,,,,,,,
한솔홀딩스,no_disclosure,,,,,,,
샘표,no_disclosure,,,,,,,
조일알미늄,no_disclosure,,,,,,,
경인양행,no_disclosure,,,,,,,
디씨엠,no_disclosure,,,,,,,
일진다이아,no_disclosure,,,,,,,
디와이파워,no_disclosure,,,,,,,
태림포장,no_disclosure,,,,,,,
미원홀딩스,no_disclosure,,,,,,,
삼성제약,no_disclosure,,,,,,,
와이투솔루션,no_disclosure,,,,,,,
신원,no_disclosure,,,,,,,
한신공영,no_disclosure,,,,,,,
금강공업,no_disclosure,,,,,,,
제일파마홀딩스,no_disclosure,,,,,,,
경동도시가스,no_disclosure,,,,,,,
신영와코루,no_disclosure,,,,,,,
유니퀘스트,no_disclosure,,,,,,,
그린케미칼,no_disclosure,,,,,,,
HS화성,no_disclosure,,,,,,,
텔코웨어,no_disclosure,,,,,,,
동양,no_disclosure,,,,,,,
현대코퍼레이션홀딩스,no_disclosure,,,,,,,
인천도시가스,no_disclosure,,,,,,,
KBI동양철관,no_disclosure,,,,,,,
태경비케이,no_disclosure,,,,,,,
극동유화,no_disclosure,,,,,,,
대성홀딩스,no_disclosure,,,,,,,
한국무브넥스,no_disclosure,,,,,,,
경동인베스트,no_disclosure,,,,,,,
수산세보틱스,no_disclosure,,,,,,,
STX,no_disclosure,,,,,,,
티에이치엔,no_disclosure,,,,,,,
계양전기,no_disclosure,,,,,,,
한일철강,no_disclosure,,,,,,,
디와이,no_disclosure,,,,,,,
레이언스,ok,20260811.0,364.58,25.7,,25.12,,흑자전환
대창,no_disclosure,,,,,,,
샘표식품,no_disclosure,,,,,,,
모나용평,no_disclosure,,,,,,,
HS애드,no_disclosure,,,,,,,
조선선재,no_disclosure,,,,,,,
세원정공,no_disclosure,,,,,,,
KEC,no_disclosure,,,,,,,
무림P&P,no_disclosure,,,,,,,
아시아나IDT,no_disclosure,,,,,,,
한국화장품,no_disclosure,,,,,,,
삼익악기,no_disclosure,,,,,,,
크라운제과,no_disclosure,,,,,,,
한국제지,no_disclosure,,,,,,,
동남합성,no_disclosure,,,,,,,
KC코트렐,no_disclosure,,,,,,,
AK홀딩스,no_disclosure,,,,,,,
SK디앤디,no_disclosure,,,,,,,
두올,no_disclosure,,,,,,,
팜스코,no_disclosure,,,,,,,
까뮤이앤씨,no_disclosure,,,,,,,
HL D&I,ok,20260811.0,4455.93,9.5,,265.16,34.1,
아남전자,no_disclosure,,,,,,,
세이브존I&C,no_disclosure,,,,,,,
황금에스티,no_disclosure,,,,,,,
사조동아원,no_disclosure,,,,,,,
아주스틸,no_disclosure,,,,,,,
영보화학,no_disclosure,,,,,,,
동방,no_disclosure,,,,,,,
대교,no_disclosure,,,,,,,
DKME,no_disclosure,,,,,,,
KTis,no_disclosure,,,,,,,
삼원강재,no_disclosure,,,,,,,
삼성공조,no_disclosure,,,,,,,
크라운해태홀딩스,no_disclosure,,,,,,,
차AI헬스케어,no_disclosure,,,,,,,
DRB동일,no_disclosure,,,,,,,
DSR제강,no_disclosure,,,,,,,
TP,no_disclosure,,,,,,,
티와이홀딩스,no_disclosure,,,,,,,
동일산업,no_disclosure,,,,,,,
인지컨트롤스,no_disclosure,,,,,,,
조흥,no_disclosure,,,,,,,
동일고무벨트,no_disclosure,,,,,,,
사조오양,no_disclosure,,,,,,,
삼부토건,no_disclosure,,,,,,,
동인기연,no_disclosure,,,,,,,
대양금속,no_disclosure,,,,,,,
이월드,no_disclosure,,,,,,,
주성코퍼레이션,no_disclosure,,,,,,,
일성건설,no_disclosure,,,,,,,
선도전기,no_disclosure,,,,,,,
대영포장,no_disclosure,,,,,,,
CS홀딩스,no_disclosure,,,,,,,
동방아그로,no_disclosure,,,,,,,
혜인,no_disclosure,,,,,,,
지엠비코리아,no_disclosure,,,,,,,
삼호개발,no_disclosure,,,,,,,
대림바스,no_disclosure,,,,,,,
HLB글로벌,no_disclosure,,,,,,,
성창기업지주,no_disclosure,,,,,,,
팜젠사이언스,no_disclosure,,,,,,,
DSR,no_disclosure,,,,,,,
남광토건,no_disclosure,,,,,,,
화천기공,no_disclosure,,,,,,,
CJ씨푸드,ok,20260811.0,482.54,13.6,,-5.78,61.2,
휴비스,no_disclosure,,,,,,,
우신시스템,no_disclosure,,,,,,,
동양고속,no_disclosure,,,,,,,
국제약품,no_disclosure,,,,,,,
신일전자,no_disclosure,,,,,,,
페이퍼코리아,no_disclosure,,,,,,,
피제이메탈,ok,20260811.0,1228.14,40.9,,117.86,,흑자전환
엔케이,no_disclosure,,,,,,,
삼정펄프,no_disclosure,,,,,,,
아이티센씨티에스,no_disclosure,,,,,,,
한국내화,no_disclosure,,,,,,,
다스코,no_disclosure,,,,,,,
비상교육,no_disclosure,,,,,,,
동원모빌리티,ok,20260811.0,943.11,-1.5,,139.11,29.9,
태경케미컬,no_disclosure,,,,,,,
대현,no_disclosure,,,,,,,
제일연마,no_disclosure,,,,,,,
테이팩스,no_disclosure,,,,,,,
무림페이퍼,no_disclosure,,,,,,,
유엔젤,no_disclosure,,,,,,,
오리엔트바이오,no_disclosure,,,,,,,
화천기계,ok,20260811.0,568.94,-15.1,,9.05,-56.6,
삼성출판사,no_disclosure,,,,,,,
삼일씨엔에스,no_disclosure,,,,,,,
하이스틸,no_disclosure,,,,,,,
호전실업,no_disclosure,,,,,,,
에이프로젠,no_disclosure,,,,,,,
써니전자,no_disclosure,,,,,,,
유유제약,no_disclosure,,,,,,,
인터지스,no_disclosure,,,,,,,
새론오토모티브,no_disclosure,,,,,,,
일신석재,no_disclosure,,,,,,,
디와이덕양,no_disclosure,,,,,,,
삼화왕관,no_disclosure,,,,,,,
일진디스플,no_disclosure,,,,,,,
우성머티리얼스,no_disclosure,,,,,,,
한국특강,no_disclosure,,,,,,,
기신정기,no_disclosure,,,,,,,
평화홀딩스,no_disclosure,,,,,,,
신송홀딩스,no_disclosure,,,,,,,
금호에이치티,no_disclosure,,,,,,,
인바이오젠,no_disclosure,,,,,,,
유니켐,no_disclosure,,,,,,,
범양건영,no_disclosure,,,,,,,
고려산업,no_disclosure,,,,,,,
모나리자,no_disclosure,,,,,,,
전방,no_disclosure,,,,,,,
화승알앤에이,no_disclosure,,,,,,,
덕성,no_disclosure,,,,,,,
조비,no_disclosure,,,,,,,
인팩,no_disclosure,,,,,,,
우성,no_disclosure,,,,,,,
아진전자부품,no_disclosure,,,,,,,
대구백화점,no_disclosure,,,,,,,
진양산업,no_disclosure,,,,,,,
서원,no_disclosure,,,,,,,
진원생명과학,no_disclosure,,,,,,,
씨아이테크,no_disclosure,,,,,,,
유성기업,no_disclosure,,,,,,,
조광페인트,no_disclosure,,,,,,,
케이비아이동국실업,no_disclosure,,,,,,,
상신브레이크,no_disclosure,,,,,,,
대호에이엘,no_disclosure,,,,,,,
덴티스,ok,20260811.0,321.36,-0.8,,26.49,,흑자전환
SB성보,no_disclosure,,,,,,,
유니온,no_disclosure,,,,,,,
부산주공,no_disclosure,,,,,,,
이엔플러스,no_disclosure,,,,,,,
깨끗한나라,no_disclosure,,,,,,,
씨케이솔루션,no_disclosure,,,,,,,
문배철강,no_disclosure,,,,,,,
한국종합기술,no_disclosure,,,,,,,
부산산업,no_disclosure,,,,,,,
DYP,no_disclosure,,,,,,,
엑시큐어하이트론,no_disclosure,,,,,,,
NHN벅스,ok,20260811.0,105.97,-8.5,,4.96,125.6,
광명전기,no_disclosure,,,,,,,
갤럭시아에스엠,no_disclosure,,,,,,,
명문제약,no_disclosure,,,,,,,
부국철강,no_disclosure,,,,,,,
금비,no_disclosure,,,,,,,
금호전기,no_disclosure,,,,,,,
시디즈,no_disclosure,,,,,,,
보해양조,no_disclosure,,,,,,,
유니드비티플러스,no_disclosure,,,,,,,
한성기업,no_disclosure,,,,,,,
성문전자,no_disclosure,,,,,,,
한창제지,no_disclosure,,,,,,,
마니커,no_disclosure,,,,,,,
유니온머티리얼,no_disclosure,,,,,,,
에쓰씨엔지니어링,no_disclosure,,,,,,,
영흥,no_disclosure,,,,,,,
이화산업,no_disclosure,,,,,,,
디와이에이,no_disclosure,,,,,,,
우진플라임,no_disclosure,,,,,,,
경인전자,no_disclosure,,,,,,,
세우글로벌,no_disclosure,,,,,,,
신풍,no_disclosure,,,,,,,
핸즈코퍼레이션,no_disclosure,,,,,,,
세기상사,no_disclosure,,,,,,,
원림,no_disclosure,,,,,,,
대한방직,no_disclosure,,,,,,,
미래아이앤지,no_disclosure,,,,,,,
한세엠케이,no_disclosure,,,,,,,
콘텐트리중앙,no_disclosure,,,,,,,
씨티알모빌리티,no_disclosure,,,,,,,
우진아이엔에스,no_disclosure,,,,,,,
에이프로젠바이오로직스,no_disclosure,,,,,,,
메타케어,no_disclosure,,,,,,,
SG글로벌,no_disclosure,,,,,,,
MH에탄올,no_disclosure,,,,,,,
대림통상,no_disclosure,,,,,,,
모나미,no_disclosure,,,,,,,
동일제강,no_disclosure,,,,,,,
한솔홈데코,no_disclosure,,,,,,,
한익스프레스,no_disclosure,,,,,,,
메타랩스,no_disclosure,,,,,,,
진도,no_disclosure,,,,,,,
플레이그램,no_disclosure,,,,,,,
프리티,no_disclosure,,,,,,,
WISCOM,no_disclosure,,,,,,,
이건산업,no_disclosure,,,,,,,
한국주강,no_disclosure,,,,,,,
코아스,no_disclosure,,,,,,,
한창,no_disclosure,,,,,,,
체시스,no_disclosure,,,,,,,
온타이드,no_disclosure,,,,,,,
티웨이홀딩스,no_disclosure,,,,,,,
블루산업개발,no_disclosure,,,,,,,
형지엘리트,no_disclosure,,,,,,,
참엔지니어링,no_disclosure,,,,,,,
대원화성,no_disclosure,,,,,,,
진양화학,no_disclosure,,,,,,,
STX그린로지스,no_disclosure,,,,,,,
KR모터스,no_disclosure,,,,,,,
에넥스,no_disclosure,,,,,,,
이스타코,no_disclosure,,,,,,,
한국전자홀딩스,no_disclosure,,,,,,,
태원물산,no_disclosure,,,,,,,
에이엔피,no_disclosure,,,,,,,
윌비스,no_disclosure,,,,,,,
KC그린홀딩스,no_disclosure,,,,,,,
아센디오,no_disclosure,,,,,,,
비비안,no_disclosure,,,,,,,
다이나믹디자인,no_disclosure,,,,,,,
SHD,no_disclosure,,,,,,,
클래시스,ok,20260812.0,1055.15,26.7,,439.41,2.2,
실리콘투,ok,20260812.0,4025.97,51.8,,829.7,59.0,
에스피지,ok,20260812.0,887.7,10.3,,39.97,2.0,
JYP Ent.,ok,20260812.0,1831.43,-15.1,,309.98,-41.4,
원익QnC,ok,20260812.0,2718.57,16.7,,308.73,119.1,
케이아이엔엑스,ok,20260812.0,296.16,14.9,,79.69,62.36,
가비아,ok,20260812.0,887.61,10.1,,124.77,55.2,
위메이드,ok,20260812.0,1082.74,-7.3,,-209.62,26.6,
네오위즈,ok,20260812.0,1020.73,-7.2,,79.42,-57.3,
컴투스,ok,20260812.0,1570.2,-15.0,,71.6,420.7,
마녀공장,ok,20260812.0,258.1,-18.56,,25.24,-15.39,
위메이드맥스,ok,20260812.0,337.03,2.1,,-154.29,7.6,
케이티알파,ok,20260812.0,963.66,-3.7,,127.22,-8.6,
JW신약,ok,20260812.0,215.43,9.4,,35.84,34.1,
