종목명,상태,현재PBR,밴드_최저PBR,밴드_최고PBR,밴드내_위치_percentile,관측치수
유니드,ok,0.37,0.35,0.62,7.5,40.0
인벤티지랩,ok,3.49,3.32,14.34,12.5,16.0
네오위즈,ok,0.69,0.66,1.42,15.0,40.0
이녹스첨단소재,ok,0.78,0.74,1.85,5.0,40.0
국일제지,ok,34.77,32.93,102.59,22.5,40.0
원익머트리얼즈,ok,0.86,0.53,1.02,67.5,40.0
큐로셀,shares_not_found,,,,,
유진투자증권,code_not_found,,,,,
동화기업,ok,0.4,0.38,1.63,17.5,40.0
엠케이전자,ok,0.38,0.18,0.77,77.5,40.0
컴투스,ok,0.37,0.34,0.48,35.0,40.0
신대양제지,ok,0.41,0.24,0.54,72.5,40.0
흥아해운,ok,1.51,1.43,3.73,7.5,40.0
감성코퍼레이션,no_data,,,,,
에이디테크놀로지,ok,2.83,1.49,3.83,77.5,40.0
쏘카,ok,2.44,2.11,3.26,55.0,40.0
신도리코,ok,0.32,0.29,0.4,52.5,40.0
파이버프로,ok,8.93,3.51,11.86,85.0,40.0
KCC글라스,code_not_found,,,,,
신세계인터내셔날,ok,0.44,0.42,0.75,30.0,40.0
아세아,ok,0.17,0.16,0.29,12.5,40.0
프레스티지바이오파마,ok,214.89,204.14,498.19,7.5,40.0
코스모화학,shares_not_found,,,,,
BGF,ok,0.2,0.17,0.21,80.0,40.0
제이에스코퍼레이션,ok,0.65,0.45,0.91,50.0,40.0
한화갤러리아,ok,0.48,0.26,0.56,87.5,40.0
하이록코리아,ok,0.87,0.72,0.95,80.0,40.0
네오셈,ok,3.58,2.49,6.66,37.5,40.0
한국피아이엠,ok,6.54,1.31,11.35,68.8,16.0
DB증권,ok,0.3,0.15,0.38,70.6,34.0
INVENI,ok,0.11,0.07,0.12,77.5,40.0
일진하이솔루스,ok,1.25,1.16,2.11,30.0,10.0
메디포스트,ok,1.65,0.83,3.24,57.5,40.0
우리기술투자,ok,0.47,0.45,1.26,8.8,34.0
아주IB투자,ok,1.53,0.95,2.67,82.4,34.0
인텍플러스,ok,9.38,2.82,9.84,92.5,40.0
아난티,ok,0.5,0.48,1.28,5.0,40.0
웹젠,ok,0.52,0.5,0.79,15.0,40.0
케이카,no_data,,,,,
이수화학,ok,0.95,0.67,1.78,50.0,40.0
엘티씨,ok,1.76,0.63,1.91,85.0,40.0
티에프이,shares_not_found,,,,,
KISCO홀딩스,ok,0.23,0.15,0.24,97.5,40.0
세아제강,ok,0.33,0.3,0.45,50.0,18.0
HLB이노베이션,ok,7.92,5.1,14.06,72.2,18.0
동아에스티,ok,0.53,0.51,0.91,7.5,40.0
한전산업,ok,4.04,2.24,5.18,80.0,40.0
한솔테크닉스,ok,0.49,0.25,0.7,77.5,40.0
PS일렉트로닉스,shares_not_found,,,,,
글로벌텍스프리,ok,2.47,2.0,3.68,55.0,40.0
KPX홀딩스,ok,0.21,0.14,0.22,82.5,40.0
율촌화학,ok,1.28,1.21,2.75,5.0,40.0
명신산업,ok,0.47,0.45,2.3,5.0,40.0
메카로,ok,1.85,0.43,1.94,97.5,40.0
한세실업,ok,0.5,0.48,1.34,10.0,40.0
에이스침대,ok,0.48,0.39,0.5,87.5,40.0
파인엠텍,ok,1.48,1.21,2.85,32.5,40.0
금호건설,ok,2.16,0.3,2.27,100.0,40.0
네패스,ok,1.63,0.76,2.35,75.0,40.0
큐렉소,ok,3.8,3.61,7.4,31.2,16.0
현대코퍼레이션,shares_not_found,,,,,
현대퓨처넷,ok,0.49,0.4,0.58,62.5,40.0
덴티움,ok,0.62,0.59,2.87,7.5,40.0
국도화학,ok,0.39,0.32,0.51,65.0,40.0
제주항공,ok,1.2,1.14,3.1,5.0,40.0
LS증권,ok,0.38,0.22,0.4,85.3,34.0
HL홀딩스,ok,0.33,0.29,0.39,65.0,40.0
시노펙스,ok,2.22,2.11,5.53,10.0,40.0
켐트로닉스,ok,1.5,1.42,2.52,12.5,40.0
풀무원,ok,0.56,0.53,1.04,7.5,40.0
코세스,ok,4.04,1.76,6.88,64.3,28.0
한섬,ok,0.24,0.23,0.36,27.5,40.0
디케이티,shares_not_found,,,,,
제주은행,ok,0.55,0.51,0.9,23.5,34.0
한국철강,no_data,,,,,
삼립,ok,0.71,0.67,1.39,7.5,40.0
케이씨,ok,0.37,0.23,0.39,90.0,40.0
다날,ok,1.17,0.77,2.15,70.0,40.0
엔젤로보틱스,no_data,,,,,
툴젠,ok,6.66,4.78,25.16,37.5,40.0
네오팜,ok,1977.61,1109.98,2076.49,100.0,40.0
빛과전자,ok,2.38,0.88,4.68,65.0,40.0
아세아시멘트,ok,0.33,0.31,0.43,7.5,40.0
콜마홀딩스,ok,0.42,0.28,0.54,77.5,40.0
코오롱,ok,0.14,0.11,0.32,27.5,40.0
싸이맥스,ok,1.87,0.69,1.97,95.0,40.0
넥스트바이오메디컬,shares_not_found,,,,,
인화정공,ok,0.2,0.12,0.33,52.5,40.0
엠씨넥스,ok,0.86,0.82,1.52,12.5,40.0
오이솔루션,ok,3.65,1.16,3.83,90.0,40.0
에스티아이,ok,1.24,1.12,2.26,27.5,40.0
삼양바이오팜,no_data,,,,,
티로보틱스,ok,5.64,5.35,40.6,7.5,40.0
넥스틴,ok,2.54,2.42,7.07,5.0,40.0
넥센,ok,0.11,0.09,0.18,55.0,40.0
보성파워텍,no_data,,,,,
서연이화,ok,0.26,0.25,0.59,10.0,40.0
KG케미칼,ok,0.08,0.07,0.57,30.0,40.0
자이에스앤디,ok,0.49,0.19,0.52,97.5,40.0
광동제약,ok,0.46,0.44,0.63,30.0,40.0
티엠씨,ok,3.02,2.24,6.22,33.3,9.0
넥스틸,ok,0.73,0.43,0.82,85.3,34.0
트리니티항공,ok,1.96,1.86,12.97,5.4,37.0
유바이오로직스,shares_not_found,,,,,
휴온스,ok,0.76,0.73,1.4,12.5,40.0
GRT,ok,60.17,36.96,77.97,62.5,40.0
수산인더스트리,shares_not_found,,,,,
진성티이씨,ok,0.93,0.71,1.08,67.5,40.0
애경산업,ok,0.76,0.72,1.3,8.8,34.0
엑스게이트,no_data,,,,,
지노믹트리,ok,2.69,2.55,4.94,17.5,40.0
아세아제지,ok,0.36,0.32,0.41,57.5,40.0
휴온스글로벌,ok,0.28,0.26,0.65,7.5,40.0
RF머트리얼즈,ok,3.46,0.34,3.63,95.0,40.0
일진홀딩스,ok,0.26,0.17,0.45,67.5,40.0
SIMPAC,ok,0.41,0.34,0.47,65.0,40.0
신라젠,ok,2.95,2.51,10.45,22.5,40.0
스틱인베스트먼트,ok,1.17,1.03,1.67,32.4,34.0
에이블씨엔씨,ok,4.32,1.73,4.54,97.5,40.0
한중엔시에스,ok,3.14,2.89,24.38,27.6,29.0
LX하우시스,ok,0.36,0.3,0.5,50.0,40.0
한스바이오메드,ok,8.62,1.48,10.52,87.5,40.0
신성이엔지,shares_not_found,,,,,
한라캐스트,ok,2.94,2.79,8.37,20.0,10.0
퍼시스,ok,0.41,0.39,0.73,7.5,40.0
한양디지텍,ok,1.71,0.84,2.44,60.0,40.0
HLB생명과학,ok,1.18,1.12,7.44,5.0,40.0
HEM파마,ok,171.36,5.91,187.03,87.5,16.0
드림텍,ok,0.72,0.69,1.63,10.0,40.0
폰드그룹,ok,0.6,0.46,0.82,62.1,29.0
한국정보통신,ok,0.85,0.81,1.22,12.5,40.0
제이브이엠,ok,1.21,1.15,2.0,17.5,40.0
휴메딕스,no_data,,,,,
에이플러스에셋,ok,1.1,0.44,1.16,97.5,40.0
한라IMS,ok,1.59,0.63,1.67,92.5,40.0
노바렉스,ok,1.07,0.71,1.5,75.0,40.0
네패스아크,no_data,,,,,
광주신세계,no_data,,,,,
AP시스템,ok,0.8,0.74,1.13,35.0,40.0
인탑스,ok,0.39,0.33,0.74,45.0,40.0
우진,ok,1.24,0.73,1.87,72.5,40.0
한양증권,ok,0.48,0.33,0.64,72.2,18.0
퍼스텍,no_data,,,,,
DB,ok,0.59,0.56,0.89,7.5,40.0
동국홀딩스,ok,0.03,0.03,0.06,47.5,40.0
롯데이노베이트,ok,0.65,0.62,1.02,17.5,40.0
이뮨온시아,no_data,,,,,
한국알콜,ok,0.5,0.32,0.52,92.5,40.0
유나이티드제약,code_not_found,,,,,
사조대림,ok,0.37,0.35,0.6,20.0,40.0
JW홀딩스,ok,0.48,0.43,2.04,40.0,40.0
디아이티,ok,1.27,1.07,2.21,35.0,40.0
하림,ok,0.89,0.85,1.16,7.5,40.0
SAMG엔터,ok,2.94,2.52,11.56,25.0,40.0
이지홀딩스,ok,0.26,0.16,0.33,72.5,40.0
대한제강,ok,0.16,0.15,0.23,12.5,40.0
송원산업,ok,0.37,0.31,0.62,42.5,40.0
셀바스AI,ok,1.08,1.02,5.58,7.5,40.0
남해화학,ok,0.52,0.49,0.75,7.5,40.0
한국토지신탁,ok,0.24,0.23,0.32,50.0,34.0
프로티나,shares_not_found,,,,,
삼양엔씨켐,no_data,,,,,
한국자산신탁,ok,0.27,0.25,0.38,14.7,34.0
바텍,ok,0.61,0.58,1.34,12.5,40.0
한국공항,ok,0.66,0.35,0.69,97.5,40.0
마녀공장,ok,2.48,1.86,4.33,40.5,37.0
씨앤씨인터내셔널,ok,0.81,0.77,6.76,10.0,40.0
파트론,ok,0.51,0.49,0.83,7.5,40.0
골프존홀딩스,ok,0.35,0.2,0.37,100.0,40.0
매커스,ok,1.94,0.73,2.03,95.0,40.0
대상홀딩스,ok,0.22,0.2,0.33,45.0,40.0
화신,ok,0.5,0.47,1.09,5.0,40.0
진에어,no_data,,,,,
CJ프레시웨이,ok,0.76,0.6,0.98,72.5,40.0
KG에코솔루션,ok,0.08,0.07,0.59,37.5,40.0
서울바이오시스,ok,1.78,1.11,4.15,70.0,40.0
KG이니시스,ok,0.37,0.33,0.66,37.5,40.0
한텍,ok,1.86,1.72,3.35,23.1,13.0
HLB제약,ok,1.87,1.77,4.15,15.4,13.0
스맥,ok,2.91,1.4,3.05,92.5,40.0
서울가스,code_not_found,,,,,
위메이드맥스,ok,0.84,0.8,11.95,10.0,40.0
서흥,ok,0.56,0.32,0.73,67.5,40.0
포스코스틸리온,ok,0.07,0.06,0.1,57.5,40.0
아이엠바이오로직스,shares_not_found,,,,,
제우스,ok,0.81,0.77,1.67,5.0,40.0
삼영전자,code_not_found,,,,,
일성아이에스,shares_not_found,,,,,
