종목명,상태,현재PBR,밴드_최저PBR,밴드_최고PBR,밴드내_위치_percentile,관측치수
넷마블,ok,0.57,0.54,0.94,7.5,40.0
현대해상,ok,0.57,0.36,0.6,100.0,34.0
한국가스공사,ok,0.27,0.21,0.38,42.5,40.0
포스코DX,ok,5.78,5.49,18.71,17.5,40.0
서울보증보험,ok,0.62,0.56,0.7,50.0,16.0
CJ제일제당,ok,0.25,0.24,0.6,12.5,40.0
달바글로벌,ok,12.91,8.86,19.57,75.0,16.0
한미사이언스,ok,3.09,2.27,3.54,70.0,40.0
클래시스,ok,5.7,5.41,10.84,7.5,40.0
에스원,ok,1.53,1.23,1.65,79.4,34.0
SK바이오사이언스,ok,1.44,1.37,3.33,7.5,40.0
파두,ok,88.98,4.74,114.71,85.3,34.0
현대엘리베이터,ok,2.54,1.07,2.66,90.0,40.0
HPSP,no_data,,,,,
iM금융지주,ok,0.43,0.21,0.45,91.2,34.0
한올바이오파마,ok,17.8,7.73,18.69,92.5,40.0
롯데쇼핑,ok,0.18,0.12,0.23,55.0,40.0
DN오토모티브,ok,0.97,0.51,1.02,92.5,40.0
일진전기,ok,4.95,1.36,6.03,82.5,40.0
ISC,ok,5.35,2.08,7.67,65.0,40.0
보로노이,ok,35.11,8.81,76.82,57.5,40.0
GS건설,ok,0.53,0.25,0.56,97.5,40.0
영원무역홀딩스,ok,0.43,0.2,0.46,87.5,40.0
BGF리테일,ok,2.05,1.53,2.76,72.5,40.0
동서,ok,1.55,1.1,1.62,70.0,40.0
디앤디파마텍,ok,38.68,5.36,54.94,72.0,25.0
롯데케미칼,ok,0.14,0.13,0.39,20.0,40.0
제주반도체,ok,9.68,1.14,10.16,95.0,40.0
현대무벡스,ok,16.92,2.0,21.54,87.5,40.0
실리콘투,ok,4.75,4.15,14.23,32.5,40.0
코리안리,ok,0.68,0.38,0.72,100.0,34.0
F&F,ok,1.28,1.22,3.96,5.0,40.0
에스엘,ok,0.98,0.63,1.03,85.0,40.0
올릭스,ok,19.14,6.29,53.37,52.5,40.0
유진테크,ok,5.45,1.98,5.72,87.5,40.0
에코프로머티,ok,1.86,1.53,2.95,50.0,4.0
한국콜마,ok,1.47,0.83,1.74,82.5,40.0
신영증권,ok,0.58,0.29,0.71,78.4,37.0
미스토홀딩스,ok,0.87,0.71,0.91,92.5,40.0
한화비전,ok,2.94,2.13,4.13,31.8,22.0
농심,ok,0.79,0.75,1.12,22.5,40.0
한국앤컴퍼니,ok,0.49,0.29,0.54,80.0,40.0
테스,ok,6.17,1.02,6.48,97.5,40.0
한솔케미칼,ok,2.1,1.17,2.66,55.0,40.0
HL만도,ok,0.84,0.64,1.07,77.5,40.0
GS리테일,ok,0.73,0.32,0.76,100.0,40.0
롯데지주,ok,0.19,0.18,0.27,25.0,40.0
미래에셋생명,ok,0.97,0.22,1.01,97.1,34.0
풍산,ok,1.01,0.54,1.54,72.5,40.0
코스맥스,ok,3.58,3.05,5.01,37.5,40.0
솔브레인,ok,2.08,1.28,2.67,55.0,40.0
티에스이,ok,4.86,1.11,5.1,97.5,40.0
케이뱅크,no_data,,,,,
에스피지,ok,8.92,2.15,9.69,87.5,40.0
이마트,ok,0.16,0.12,0.19,67.5,40.0
금호타이어,ok,0.86,0.67,1.24,57.5,40.0
펄어비스,ok,2.31,2.19,4.07,11.8,34.0
현대지에프홀딩스,ok,0.27,0.11,0.41,72.5,40.0
제일기획,ok,1.25,1.19,1.56,17.5,40.0
현대백화점,ok,0.36,0.17,0.37,87.5,40.0
서진시스템,ok,2.52,1.45,3.54,72.5,40.0
한전KPS,ok,1.58,1.23,1.92,60.0,40.0
SK가스,ok,0.61,0.52,0.83,45.0,40.0
에스티팜,ok,3.66,3.25,5.35,27.5,40.0
아모레퍼시픽홀딩스,ok,0.28,0.24,0.66,32.5,40.0
피에스케이홀딩스,ok,4.44,1.68,4.66,92.5,40.0
고영,ok,6.08,2.31,6.53,87.5,40.0
동진쎄미켐,ok,1.89,1.41,2.71,42.5,40.0
두산퓨얼셀,ok,6.14,2.06,10.31,89.3,28.0
하나마이크론,ok,3.07,1.19,4.04,72.5,40.0
셀트리온제약,no_data,,,,,
우리기술,ok,12.6,2.32,15.64,90.0,40.0
이수스페셜티케미컬,ok,14.99,12.12,27.63,40.0,10.0
HD현대마린엔진,ok,4.02,1.72,7.99,65.0,40.0
대한조선,ok,1.72,1.63,5.59,15.4,13.0
티씨케이,no_data,,,,,
씨에스윈드,ok,1.5,1.29,2.93,30.0,40.0
CJ대한통운,ok,0.35,0.33,0.6,10.0,40.0
대한광통신,ok,15.98,1.6,16.77,95.0,40.0
코오롱인더,ok,0.38,0.24,0.53,57.5,40.0
파크시스템스,ok,8.17,7.53,9.9,27.5,40.0
에스엠,ok,1.29,1.23,3.28,7.5,40.0
SK이터닉스,ok,6.4,1.89,6.72,89.3,28.0
현대위아,ok,0.42,0.28,0.54,67.5,40.0
호텔신라,ok,1.47,1.4,4.72,22.5,40.0
엘앤씨바이오,ok,6.87,2.18,8.32,72.5,40.0
오리온홀딩스,ok,0.32,0.2,0.42,85.0,40.0
메지온,ok,119.41,17.01,128.22,90.0,40.0
동원산업,ok,0.43,0.41,0.63,25.0,40.0
JYP Ent.,ok,2.49,2.36,10.37,5.0,40.0
다우기술,ok,0.22,0.13,0.32,62.5,40.0
LS마린솔루션,ok,2.58,2.2,7.1,33.3,18.0
롯데에너지머티리얼즈,ok,0.93,0.63,1.77,42.5,40.0
SK네트웍스,ok,0.72,0.39,0.76,95.0,40.0
비에이치아이,ok,9.49,3.26,13.55,72.5,40.0
녹십자,ok,1.16,0.87,1.26,77.5,40.0
씨젠,ok,1.39,0.95,1.45,95.0,40.0
HJ중공업,ok,2.28,0.84,6.55,70.0,40.0
아시아나항공,ok,2.61,1.7,4.02,40.0,40.0
코오롱티슈진,no_data,,,,,
대웅제약,ok,1.29,1.23,1.97,10.0,40.0
IPARK현대산업개발,ok,0.45,0.26,0.48,77.5,40.0
세아베스틸지주,ok,0.79,0.34,1.18,85.0,40.0
원익홀딩스,ok,1.23,0.15,1.93,76.5,34.0
효성티앤씨,ok,0.73,0.52,1.05,42.5,40.0
롯데렌탈,ok,1.0,0.71,1.05,100.0,40.0
LX인터내셔널,ok,0.37,0.29,0.46,72.5,40.0
네이처셀,ok,23.39,7.34,28.25,77.5,40.0
HD현대에너지솔루션,ok,3.06,0.67,3.53,90.0,40.0
비츠로셀,ok,4.43,1.7,4.84,90.0,40.0
기가비스,ok,7.38,2.21,12.09,80.0,10.0
LS에코에너지,ok,5800370.42,2253737.79,7471245.55,70.0,40.0
대주전자재료,ok,5.74,4.52,12.5,35.0,40.0
NHN,ok,0.72,0.31,0.75,97.5,40.0
오뚜기,ok,0.52,0.49,0.72,10.0,40.0
제이에스링크,ok,14.64,3.88,17.62,82.5,40.0
HDC,ok,0.21,0.07,0.23,87.5,40.0
오름테라퓨틱,ok,12.41,2.53,17.55,72.2,18.0
오스코텍,ok,7.96,6.77,17.3,32.5,40.0
코리아써키트,ok,1.65,0.35,2.45,82.5,40.0
더블유게임즈,ok,0.67,0.64,0.85,35.0,40.0
RFHIC,ok,3.37,0.98,4.0,85.0,40.0
동양생명,ok,0.7,0.28,0.84,67.6,34.0
롯데정밀화학,ok,0.51,0.42,0.64,65.0,40.0
대신증권,ok,0.25,0.19,0.33,58.8,34.0
하림지주,ok,0.17,0.1,0.26,72.5,40.0
성호전자,ok,2.26,0.56,7.59,82.5,40.0
두산테스나,ok,3.01,1.11,5.11,85.7,28.0
SK아이이테크놀로지,ok,0.49,0.46,3.16,5.0,40.0
코스모신소재,no_data,,,,,
한국카본,ok,2.1,1.19,3.37,65.0,40.0
태성,ok,10.86,2.67,20.32,65.0,40.0
스피어,ok,10.72,7.06,54.18,32.5,40.0
HK이노엔,no_data,,,,,
케이씨텍,ok,2.33,1.53,2.49,84.6,13.0
교보증권,ok,0.53,0.3,0.61,85.3,34.0
삼현,ok,9.17,2.77,15.03,63.6,22.0
하이트진로,ok,0.93,0.88,1.34,7.5,40.0
코미코,ok,1.44,0.77,1.9,75.0,40.0
한일시멘트,ok,0.6,0.55,0.77,47.1,34.0
STX엔진,ok,3.23,1.99,4.5,62.5,40.0
대원전선,ok,7.36,0.92,7.73,97.5,40.0
롯데웰푸드,ok,0.49,0.43,0.56,65.0,40.0
DL,ok,0.21,0.15,0.26,65.0,40.0
후성,ok,2.61,1.38,3.66,70.0,40.0
SNT다이내믹스,ok,0.87,0.4,1.63,57.5,40.0
경동나비엔,ok,1.31,1.12,1.8,42.5,40.0
하나머티리얼즈,ok,2.34,1.36,3.02,50.0,40.0
대웅,ok,0.41,0.39,0.72,7.5,40.0
롯데관광개발,ok,2.86,1.93,12.87,27.5,40.0
코스메카코리아,ok,3.67,1.57,3.85,100.0,40.0
태광산업,ok,0.19,0.12,0.21,82.5,40.0
에스에이엠티,ok,1.46,0.64,1.53,95.0,40.0
종근당,ok,0.9,0.86,1.89,7.5,40.0
한샘,ok,1.71,1.61,2.46,22.5,40.0
인바디,ok,2.88,1.16,3.02,100.0,40.0
롯데칠성,code_not_found,,,,,
쿠쿠홀딩스,ok,0.62,0.49,0.78,47.5,40.0
한화투자증권,ok,0.47,0.42,0.76,47.1,34.0
파라다이스,ok,0.38,0.36,0.86,5.0,40.0
CJ CGV,ok,2.08,1.16,3.64,75.0,40.0
알지노믹스,no_data,,,,,
해성디에스,ok,1.75,0.73,2.38,67.5,40.0
GST,ok,2.82,1.08,2.96,92.5,40.0
NICE평가정보,ok,1.94,1.61,2.21,75.0,40.0
카카오게임즈,ok,0.67,0.64,1.5,7.5,40.0
유안타증권,ok,0.46,0.31,0.52,88.2,34.0
동국제약,ok,1.19,1.04,1.41,47.5,40.0
GS피앤엘,ok,0.67,0.34,0.81,61.1,18.0
에스앤에스텍,ok,2.81,2.33,5.91,30.0,40.0
차바이오텍,ok,0.75,0.71,3.69,5.0,40.0
샘씨엔에스,no_data,,,,,
지엔씨에너지,ok,3.49,0.58,3.67,97.5,40.0
신성델타테크,ok,2.44,2.32,8.2,15.0,40.0
로보스타,ok,9.33,2.45,9.79,90.0,40.0
SK오션플랜트,ok,1.06,1.01,2.25,10.0,40.0
유일로보틱스,ok,9.02,7.8,10.61,75.0,4.0
휴림로봇,ok,3.82,1.13,9.45,52.5,40.0
덕산네오룩스,ok,1.82,1.73,3.18,20.0,40.0
레이크머티리얼즈,ok,6.33,6.01,13.51,20.0,40.0
SFA반도체,ok,2.04,1.05,2.74,82.5,40.0
HS효성첨단소재,ok,0.9,0.78,2.89,32.5,40.0
쎄트렉아이,ok,3.67,2.16,7.42,82.5,40.0
클로봇,ok,13.28,7.11,29.71,55.6,18.0
루닛,ok,2.74,2.46,19.36,17.5,40.0
삼화콘덴서,code_not_found,,,,,
LS머트리얼즈,ok,4.01,3.36,8.38,44.8,29.0
에스디바이오센서,ok,0.34,0.32,0.53,10.0,40.0
SNT홀딩스,ok,0.29,0.16,0.4,62.5,40.0
이노션,ok,0.7,0.66,0.94,20.0,40.0
SGC에너지,ok,1.11,0.38,1.17,97.5,40.0
SFA,ok,0.41,0.36,0.62,27.5,40.0
CJ ENM,ok,0.22,0.21,0.43,7.5,40.0
와이지엔터테인먼트,ok,1.23,1.17,3.28,15.0,40.0
세방전지,ok,0.45,0.43,0.94,10.0,40.0
피엔티,ok,1.05,1.0,3.81,5.0,40.0
인텔리안테크,ok,2.82,1.51,4.73,70.0,40.0
스튜디오드래곤,ok,1.0,0.95,2.24,7.5,40.0
SK케미칼,ok,0.25,0.23,0.51,15.0,40.0
보령,ok,0.89,0.85,1.84,10.0,40.0
와이씨,ok,1.66,1.13,3.76,30.0,40.0
원익QnC,ok,1.33,0.82,1.83,50.0,40.0
SNT모티브,ok,0.64,0.6,0.82,47.5,40.0
