종목명,기준일,수주잔고(억원)
테크윙,20241114,199.0
테크윙,20240814,284.5
에이치브이엠,20260515,485.9
에이치브이엠,20251114,353.9
에이치브이엠,20250814,319.6
에이치브이엠,20250515,198.3
에이치브이엠,20241114,247.4
에이치브이엠,20240814,219.8
현대힘스,20260514,576.3
현대힘스,20260318,653.8
현대힘스,20251114,548.1
현대힘스,20250814,605.2
현대힘스,20250512,411.9
현대힘스,20250318,356.8
현대힘스,20241111,347.2
현대힘스,20240816,362.8
심텍,20260514,3306.1
심텍,20251113,2617.1
심텍,20250813,1912.6
심텍,20250514,1182.6
심텍,20250318,1367.2
심텍,20241113,1301.2
심텍,20240813,1402.3
에코프로에이치엔,20260515,897.5
에코프로에이치엔,20260316,642.7
에코프로에이치엔,20251114,827.4
에코프로에이치엔,20250814,783.3
에코프로에이치엔,20250515,720.6
에코프로에이치엔,20250317,771.0
에코프로에이치엔,20241114,893.5
에코프로에이치엔,20240814,1054.8
덕산하이메탈,20260515,5.7
덕산하이메탈,20250515,6.3
덕산하이메탈,20241114,6.6
덕산하이메탈,20240814,6.8
유한양행,20260515,1.9
유한양행,20251114,2.2
유한양행,20250814,1.3
유한양행,20250515,0.8
유한양행,20241114,0.8
현대리바트,20260515,1281.5
현대리바트,20250515,1160.9
현대리바트,20241114,1014.8
현대리바트,20240814,1519.9
한화엔진,20260514,524.3
한화엔진,20251113,398.8
한화엔진,20250813,401.4
한화엔진,20250514,411.4
한화엔진,20250318,338.4
한화엔진,20241114,324.3
한화엔진,20240814,280.6
태웅,20260515,0.2
태웅,20260318,0.2
태웅,20251114,0.2
태웅,20250814,0.2
태웅,20250515,0.2
태웅,20241114,0.2
태웅,20240814,0.2
한국항공우주,20260515,2655.3
한국항공우주,20251114,2626.7
한국항공우주,20250814,2667.3
한국항공우주,20250515,270.5
한국항공우주,20241114,207.7
한국항공우주,20240814,207.7
SK오션플랜트,20260515,12224.5
SK오션플랜트,20251114,13146.6
SK오션플랜트,20250814,10788.6
SK오션플랜트,20250515,9281.4
SK오션플랜트,20250318,11967.6
SK오션플랜트,20241114,13106.6
비아이매트릭스,20260515,134.5
비아이매트릭스,20260320,116.5
비아이매트릭스,20251114,105.4
비아이매트릭스,20250813,102.3
비아이매트릭스,20250513,101.7
비아이매트릭스,20241114,69.6
비아이매트릭스,20240814,38.5
코리아써키트,20260515,1572.5
코리아써키트,20260319,1991.5
코리아써키트,20251114,1149.4
코리아써키트,20250814,1599.7
코리아써키트,20250515,1397.3
코리아써키트,20241114,1213.9
코리아써키트,20240814,1337.4
모나용평,20260515,1251.8
모나용평,20251114,1318.7
모나용평,20250814,1414.9
모나용평,20250514,1552.6
모나용평,20241114,1558.0
모나용평,20240814,1675.9
선익시스템,20260515,5822.7
선익시스템,20260318,959.8
선익시스템,20251114,3072.6
선익시스템,20250814,3728.4
선익시스템,20250515,5329.3
선익시스템,20250317,5280.4
선익시스템,20241114,869.3
선익시스템,20240814,738.2
대덕전자,20260514,23.7
대덕전자,20251113,31.1
대덕전자,20250813,12.8
대덕전자,20250514,7.9
대덕전자,20241113,7.8
대덕전자,20240813,6.8
한화비전,20260513,154.8
한화비전,20260316,221.1
한화비전,20251113,299.9
한화비전,20250813,406.5
한화비전,20250514,273.6
한화비전,20241114,449.7
